,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,108,2020-03-12,Andhra Pradesh,0,0,1,1,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,,,,,,0
1,121,2020-03-13,Andhra Pradesh,0,0,1,1,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,,,,,,0
2,134,2020-03-14,Andhra Pradesh,0,0,1,1,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,,,,,,0
3,147,2020-03-15,Andhra Pradesh,0,0,1,1,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,0.0,,,,,0
4,161,2020-03-16,Andhra Pradesh,0,0,1,1,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,0.0,,,,,0
5,176,2020-03-17,Andhra Pradesh,0,0,1,1,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,0.0,0.0,,,,0
6,191,2020-03-18,Andhra Pradesh,0,0,1,1,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,0.0,0.0,,,,0
7,208,2020-03-19,Andhra Pradesh,0,0,2,2,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,50.0,50.0,50.0,,,0
8,227,2020-03-20,Andhra Pradesh,0,0,2,2,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,50.0,50.0,50.0,,,0
9,247,2020-03-21,Andhra Pradesh,0,0,3,3,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,66.67,66.67,66.67,,,0
10,269,2020-03-22,Andhra Pradesh,0,0,5,5,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,60.0,80.0,80.0,,,0
11,292,2020-03-23,Andhra Pradesh,0,0,7,7,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,71.43,85.71,85.71,,,0
12,315,2020-03-24,Andhra Pradesh,0,0,8,8,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,62.5,75.0,87.5,,,0
13,339,2020-03-25,Andhra Pradesh,1,0,9,8,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,44.44,77.78,88.89,,,0
14,365,2020-03-26,Andhra Pradesh,1,0,11,10,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,36.36,72.73,81.82,,,0
15,392,2020-03-27,Andhra Pradesh,1,0,12,11,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,33.33,58.33,83.33,91.67,,0
16,419,2020-03-28,Andhra Pradesh,1,0,14,13,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,35.71,50.0,78.57,92.86,,0
17,446,2020-03-29,Andhra Pradesh,1,0,14,13,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,21.43,42.86,64.29,92.86,,0
18,473,2020-03-30,Andhra Pradesh,1,0,19,18,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,36.84,52.63,63.16,94.74,,0
19,500,2020-03-31,Andhra Pradesh,1,0,40,39,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,65.0,72.5,80.0,97.5,,0
20,527,2020-04-01,Andhra Pradesh,0,0,83,83,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,83.13,85.54,89.16,98.8,,0
21,555,2020-04-02,Andhra Pradesh,1,1,86,84,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,77.91,83.72,87.21,98.84,98.84,0
22,583,2020-04-03,Andhra Pradesh,1,1,132,130,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,69.7,89.39,90.91,98.48,99.24,0
23,613,2020-04-04,Andhra Pradesh,1,1,161,159,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,48.45,88.2,91.3,98.76,99.38,0
24,643,2020-04-05,Andhra Pradesh,1,1,161,159,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,46.58,75.16,91.3,98.14,99.38,0
25,673,2020-04-06,Andhra Pradesh,1,3,226,222,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,41.59,63.27,91.59,97.79,99.56,0
26,703,2020-04-07,Andhra Pradesh,1,3,266,262,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,39.47,67.67,84.96,97.37,99.62,0
27,734,2020-04-08,Andhra Pradesh,1,4,305,300,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,47.21,56.72,72.79,97.38,99.67,0
28,765,2020-04-09,Andhra Pradesh,6,4,348,338,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,35.06,53.74,75.29,97.41,99.43,0
29,796,2020-04-10,Andhra Pradesh,6,4,348,338,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,23.56,53.74,62.07,96.84,99.43,0
30,827,2020-04-11,Andhra Pradesh,7,6,363,350,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,15.98,37.74,55.65,96.69,99.17,0
31,858,2020-04-12,Andhra Pradesh,11,6,381,364,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,8.66,30.18,57.74,96.33,98.69,0
32,889,2020-04-13,Andhra Pradesh,11,7,427,409,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,18.5,28.57,47.07,96.72,98.36,0
33,920,2020-04-14,Andhra Pradesh,14,9,473,450,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,23.26,26.43,43.76,95.98,98.31,0
34,952,2020-04-15,Andhra Pradesh,16,9,483,458,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,21.12,27.95,36.85,91.72,98.14,0
35,984,2020-04-16,Andhra Pradesh,20,14,525,491,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,18.67,30.86,33.71,84.19,97.9,0
36,1016,2020-04-17,Andhra Pradesh,36,14,572,522,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,17.31,33.39,39.16,84.97,97.9,0
37,1048,2020-04-18,Andhra Pradesh,36,14,572,522,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,15.56,25.35,36.54,76.92,97.55,0
38,1080,2020-04-19,Andhra Pradesh,42,15,603,546,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,12.94,21.56,36.82,73.3,97.68,0
39,1112,2020-04-20,Andhra Pradesh,42,15,646,589,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,11.46,25.23,33.9,75.08,97.06,0
40,1144,2020-04-21,Andhra Pradesh,92,20,722,610,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,20.78,27.29,34.49,68.7,94.46,0
41,1176,2020-04-22,Andhra Pradesh,96,22,757,639,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,20.34,24.44,36.2,64.86,89.04,0
42,1208,2020-04-23,Andhra Pradesh,120,24,813,669,67.0,308,9.8,11,5,7,1,1,21.4,928,83230,4162,2081,20.54,29.64,35.42,62.48,89.42,0
