,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,584,2020-04-03,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,,,,,,0
1,614,2020-04-04,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,,,,,,0
2,644,2020-04-05,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,,,,,,0
3,674,2020-04-06,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,,,,,0
4,704,2020-04-07,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,,,,,0
5,735,2020-04-08,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,,,,0
6,766,2020-04-09,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,,,,0
7,797,2020-04-10,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,,,1
8,828,2020-04-11,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,,,1
9,859,2020-04-12,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,,,1
10,890,2020-04-13,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,,,1
11,921,2020-04-14,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,,,1
12,953,2020-04-15,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,,,1
13,985,2020-04-16,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,,,1
14,1017,2020-04-17,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,,,1
15,1049,2020-04-18,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,,1
16,1081,2020-04-19,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,,1
17,1113,2020-04-20,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,,1
18,1145,2020-04-21,Arunachal Pradesh,0,0,1,1,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,,1
19,1177,2020-04-22,Arunachal Pradesh,1,0,1,0,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,,1
20,1209,2020-04-23,Arunachal Pradesh,1,0,1,0,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,,1
21,1241,2020-04-24,Arunachal Pradesh,1,0,1,0,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,0.0,1
22,1273,2020-04-25,Arunachal Pradesh,1,0,1,0,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,0.0,1
23,1305,2020-04-26,Arunachal Pradesh,1,0,1,0,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,0.0,1
24,1335,2020-04-27,Arunachal Pradesh,1,0,1,0,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,0.0,1
25,1367,2020-04-28,Arunachal Pradesh,1,0,1,0,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,0.0,1
26,1399,2020-04-29,Arunachal Pradesh,1,0,1,0,65.4,17,4.6,1,0,0,25,0,5.0,238,2624,131,66,0.0,0.0,0.0,0.0,0.0,1
