,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,270,2020-03-22,Bihar,0,1,2,1,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,,,,,,0
1,293,2020-03-23,Bihar,0,1,2,1,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,,,,,,0
2,316,2020-03-24,Bihar,0,1,3,2,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,,,,,,0
3,340,2020-03-25,Bihar,0,1,4,3,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,50.0,,,,,0
4,366,2020-03-26,Bihar,0,1,6,5,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,66.67,,,,,0
5,393,2020-03-27,Bihar,0,1,6,5,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,50.0,66.67,,,,0
6,420,2020-03-28,Bihar,0,1,9,8,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,55.56,77.78,,,,0
7,447,2020-03-29,Bihar,0,1,9,8,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,33.33,66.67,77.78,,,0
8,474,2020-03-30,Bihar,0,1,11,10,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,45.45,63.64,81.82,,,0
9,501,2020-03-31,Bihar,0,1,15,14,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,40.0,60.0,80.0,,,0
10,529,2020-04-01,Bihar,0,1,23,22,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,60.87,73.91,82.61,,,0
11,557,2020-04-02,Bihar,0,1,23,22,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,52.17,60.87,73.91,,,0
12,586,2020-04-03,Bihar,0,1,24,23,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,37.5,62.5,75.0,,,0
13,616,2020-04-04,Bihar,0,1,29,28,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,20.69,62.07,68.97,,,0
14,646,2020-04-05,Bihar,0,1,30,29,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,23.33,50.0,70.0,,,0
15,676,2020-04-06,Bihar,0,1,30,29,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,20.0,23.33,63.33,93.33,,0
16,706,2020-04-07,Bihar,0,1,32,31,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,9.38,28.12,53.12,93.75,,0
17,737,2020-04-08,Bihar,0,1,38,37,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,21.05,36.84,39.47,92.11,,0
18,768,2020-04-09,Bihar,0,1,38,37,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,21.05,23.68,39.47,89.47,,0
19,799,2020-04-10,Bihar,0,1,39,38,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,17.95,23.08,38.46,84.62,,0
20,830,2020-04-11,Bihar,0,1,60,59,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,36.67,50.0,51.67,90.0,,0
21,861,2020-04-12,Bihar,0,1,63,62,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,39.68,49.21,52.38,85.71,96.83,0
22,892,2020-04-13,Bihar,19,1,64,44,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,39.06,40.62,53.12,85.94,96.88,0
23,923,2020-04-14,Bihar,26,1,66,39,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,9.09,42.42,51.52,83.33,95.45,0
24,955,2020-04-15,Bihar,29,1,66,36,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,4.55,40.91,42.42,77.27,93.94,0
25,987,2020-04-16,Bihar,29,1,70,40,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,8.57,14.29,45.71,67.14,91.43,0
26,1019,2020-04-17,Bihar,37,1,83,45,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,20.48,24.1,53.01,72.29,92.77,0
27,1051,2020-04-18,Bihar,37,2,83,44,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,20.48,22.89,27.71,71.08,89.16,0
28,1083,2020-04-19,Bihar,37,2,86,47,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,18.6,23.26,26.74,66.28,89.53,0
29,1115,2020-04-20,Bihar,42,2,93,49,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,10.75,29.03,31.18,67.74,88.17,0
30,1147,2020-04-21,Bihar,42,2,113,69,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,26.55,38.05,41.59,73.45,86.73,0
31,1179,2020-04-22,Bihar,42,2,126,82,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,31.75,34.13,47.62,74.6,81.75,0
32,1211,2020-04-23,Bihar,46,2,143,95,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,34.97,41.96,51.05,73.43,83.92,0
33,1243,2020-04-24,Bihar,46,2,153,105,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,26.14,43.79,45.75,75.16,84.31,0
34,1275,2020-04-25,Bihar,46,2,223,175,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,43.5,58.3,62.78,82.51,87.0,0
35,1307,2020-04-26,Bihar,46,2,243,195,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,41.15,53.5,64.61,75.31,87.65,0
36,1337,2020-04-27,Bihar,56,2,274,216,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,44.16,54.01,66.06,77.01,89.05,0
37,1369,2020-04-28,Bihar,57,2,345,286,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,35.36,58.55,67.25,81.45,90.72,0
38,1401,2020-04-29,Bihar,64,2,366,300,61.8,1106,7.4,14,5,20,13,1,5.0,3034,30857,1543,771,33.61,58.2,65.57,81.97,89.62,0
