,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,221,2020-03-19,Chandigarh,0,0,1,1,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,,,,,,0
1,241,2020-03-20,Chandigarh,0,0,1,1,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,,,,,,0
2,248,2020-03-21,Chandigarh,0,0,1,1,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,,,,,,0
3,271,2020-03-22,Chandigarh,0,0,5,5,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,80.0,,,,,0
4,294,2020-03-23,Chandigarh,0,0,6,6,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,83.33,,,,,0
5,317,2020-03-24,Chandigarh,0,0,7,7,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,85.71,85.71,,,,0
6,341,2020-03-25,Chandigarh,0,0,7,7,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,28.57,85.71,,,,0
7,367,2020-03-26,Chandigarh,0,0,7,7,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,14.29,85.71,85.71,,,0
8,394,2020-03-27,Chandigarh,0,0,7,7,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,0.0,28.57,85.71,,,0
9,421,2020-03-28,Chandigarh,0,0,8,8,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,12.5,25.0,87.5,,,0
10,448,2020-03-29,Chandigarh,0,0,8,8,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,12.5,12.5,37.5,,,0
11,475,2020-03-30,Chandigarh,0,0,8,8,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,12.5,12.5,25.0,,,0
12,502,2020-03-31,Chandigarh,0,0,13,13,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,38.46,46.15,46.15,,,0
13,530,2020-04-01,Chandigarh,0,0,16,16,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,50.0,56.25,56.25,,,0
14,558,2020-04-02,Chandigarh,0,0,16,16,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,50.0,50.0,56.25,,,0
15,587,2020-04-03,Chandigarh,0,0,18,18,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,27.78,55.56,61.11,94.44,,0
16,617,2020-04-04,Chandigarh,0,0,18,18,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,11.11,55.56,55.56,94.44,,0
17,647,2020-04-05,Chandigarh,0,0,18,18,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,11.11,27.78,55.56,94.44,,0
18,677,2020-04-06,Chandigarh,0,0,18,18,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,0.0,11.11,55.56,72.22,,0
19,707,2020-04-07,Chandigarh,0,0,18,18,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,0.0,11.11,27.78,66.67,,0
20,738,2020-04-08,Chandigarh,7,0,18,11,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,0.0,0.0,11.11,61.11,,0
21,769,2020-04-09,Chandigarh,7,0,18,11,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,0.0,0.0,11.11,61.11,94.44,0
22,800,2020-04-10,Chandigarh,7,0,18,11,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,0.0,0.0,0.0,61.11,94.44,1
23,831,2020-04-11,Chandigarh,7,0,18,11,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,0.0,0.0,0.0,61.11,94.44,1
24,862,2020-04-12,Chandigarh,7,0,19,12,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,5.26,5.26,5.26,57.89,73.68,1
25,893,2020-04-13,Chandigarh,7,0,21,14,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,14.29,14.29,14.29,61.9,71.43,0
26,924,2020-04-14,Chandigarh,7,0,21,14,86.0,9528,6.4,1,1,0,0,1,5.0,13,5631,282,141,14.29,14.29,14.29,61.9,66.67,0
