,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,209,2020-03-19,Chhattisgarh,0,0,1,1,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,,,,,,0
1,228,2020-03-20,Chhattisgarh,0,0,1,1,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,,,,,,0
2,249,2020-03-21,Chhattisgarh,0,0,1,1,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,,,,,,0
3,272,2020-03-22,Chhattisgarh,0,0,1,1,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,0.0,,,,,0
4,295,2020-03-23,Chhattisgarh,0,0,1,1,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,0.0,,,,,0
5,318,2020-03-24,Chhattisgarh,0,0,1,1,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,0.0,0.0,,,,0
6,342,2020-03-25,Chhattisgarh,0,0,1,1,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,0.0,0.0,,,,0
7,368,2020-03-26,Chhattisgarh,0,0,6,6,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,83.33,83.33,83.33,,,0
8,395,2020-03-27,Chhattisgarh,0,0,6,6,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,83.33,83.33,83.33,,,0
9,422,2020-03-28,Chhattisgarh,0,0,6,6,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,83.33,83.33,83.33,,,0
10,449,2020-03-29,Chhattisgarh,0,0,6,6,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,0.0,83.33,83.33,,,0
11,476,2020-03-30,Chhattisgarh,0,0,7,7,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,14.29,85.71,85.71,,,0
12,503,2020-03-31,Chhattisgarh,0,0,8,8,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,25.0,25.0,87.5,,,0
13,531,2020-04-01,Chhattisgarh,2,0,9,7,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,33.33,33.33,88.89,,,0
14,559,2020-04-02,Chhattisgarh,2,0,9,7,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,22.22,33.33,33.33,,,0
15,588,2020-04-03,Chhattisgarh,2,0,9,7,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,11.11,33.33,33.33,88.89,,0
16,618,2020-04-04,Chhattisgarh,3,0,9,6,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,0.0,22.22,33.33,88.89,,0
17,648,2020-04-05,Chhattisgarh,3,0,9,6,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,0.0,11.11,33.33,88.89,,0
18,678,2020-04-06,Chhattisgarh,3,0,9,6,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,0.0,0.0,22.22,88.89,,0
19,708,2020-04-07,Chhattisgarh,8,0,10,2,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,10.0,10.0,20.0,90.0,,0
20,739,2020-04-08,Chhattisgarh,9,0,10,1,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,10.0,10.0,10.0,90.0,,1
21,770,2020-04-09,Chhattisgarh,9,0,10,1,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,10.0,10.0,10.0,90.0,90.0,1
22,801,2020-04-10,Chhattisgarh,9,0,10,1,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,0.0,10.0,10.0,40.0,90.0,1
23,832,2020-04-11,Chhattisgarh,9,0,18,9,70.3,189,7.8,5,1,1,24,0,5.0,396,17430,871,436,44.44,50.0,50.0,66.67,94.44,0
