,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,32,2020-03-02,Delhi,0,0,1,1,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,,,,,,0
1,35,2020-03-03,Delhi,0,0,1,1,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,,,,,,0
2,38,2020-03-04,Delhi,0,0,1,1,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,,,,,,0
3,44,2020-03-05,Delhi,0,0,2,2,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,50.0,,,,,0
4,50,2020-03-06,Delhi,0,0,3,3,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,66.67,,,,,0
5,56,2020-03-07,Delhi,0,0,3,3,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,66.67,66.67,,,,0
6,64,2020-03-08,Delhi,0,0,3,3,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,33.33,66.67,,,,0
7,72,2020-03-09,Delhi,0,0,4,4,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,25.0,75.0,75.0,,,0
8,84,2020-03-10,Delhi,0,0,4,4,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,25.0,50.0,75.0,,,0
9,96,2020-03-11,Delhi,0,0,5,5,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,40.0,40.0,80.0,,,0
10,109,2020-03-12,Delhi,0,0,6,6,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,33.33,50.0,66.67,,,0
11,122,2020-03-13,Delhi,0,0,6,6,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,33.33,50.0,50.0,,,0
12,135,2020-03-14,Delhi,1,1,7,5,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,28.57,42.86,57.14,,,0
13,148,2020-03-15,Delhi,2,1,7,4,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,14.29,42.86,57.14,,,0
14,162,2020-03-16,Delhi,2,1,7,4,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,14.29,28.57,42.86,,,0
15,177,2020-03-17,Delhi,2,1,8,5,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,12.5,25.0,50.0,87.5,,0
16,192,2020-03-18,Delhi,2,1,10,7,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,30.0,40.0,50.0,90.0,,0
17,210,2020-03-19,Delhi,3,1,12,8,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,41.67,41.67,50.0,91.67,,0
18,229,2020-03-20,Delhi,3,1,17,13,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,52.94,58.82,64.71,88.24,,0
19,250,2020-03-21,Delhi,5,1,26,20,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,61.54,73.08,73.08,88.46,,0
20,273,2020-03-22,Delhi,5,1,29,23,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,58.62,72.41,75.86,89.66,,0
21,296,2020-03-23,Delhi,5,1,29,23,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,41.38,65.52,75.86,89.66,96.55,0
22,319,2020-03-24,Delhi,6,2,30,22,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,13.33,60.0,73.33,86.67,96.67,0
23,343,2020-03-25,Delhi,6,1,31,24,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,6.45,45.16,67.74,87.1,96.77,0
24,369,2020-03-26,Delhi,6,1,36,29,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,19.44,27.78,66.67,86.11,94.44,0
25,396,2020-03-27,Delhi,6,1,36,29,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,16.67,19.44,52.78,83.33,91.67,0
26,423,2020-03-28,Delhi,6,1,39,32,86.2,11320,6.8,11,11,0,0,1,69.23,176,39455,1973,986,20.51,25.64,33.33,84.62,92.31,0
