,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,370,2020-03-26,Goa,0,0,3,3,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,,,,,,0
1,397,2020-03-27,Goa,0,0,3,3,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,,,,,,0
2,424,2020-03-28,Goa,0,0,3,3,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,,,,,,0
3,451,2020-03-29,Goa,0,0,3,3,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,,,,,0
4,478,2020-03-30,Goa,0,0,5,5,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,40.0,,,,,0
5,505,2020-03-31,Goa,0,0,5,5,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,40.0,40.0,,,,0
6,533,2020-04-01,Goa,0,0,5,5,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,40.0,40.0,,,,0
7,561,2020-04-02,Goa,0,0,5,5,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,40.0,40.0,,,0
8,590,2020-04-03,Goa,0,0,6,6,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,16.67,50.0,50.0,,,0
9,620,2020-04-04,Goa,0,0,6,6,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,16.67,16.67,50.0,,,0
10,650,2020-04-05,Goa,0,0,7,7,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,28.57,28.57,57.14,,,0
11,680,2020-04-06,Goa,0,0,7,7,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,14.29,28.57,28.57,,,0
12,710,2020-04-07,Goa,0,0,7,7,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,14.29,28.57,28.57,,,0
13,741,2020-04-08,Goa,0,0,7,7,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,14.29,28.57,,,0
14,772,2020-04-09,Goa,0,0,7,7,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,14.29,28.57,,,0
15,803,2020-04-10,Goa,0,0,7,7,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,14.29,57.14,,0
16,834,2020-04-11,Goa,1,0,7,6,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,14.29,57.14,,0
17,865,2020-04-12,Goa,5,0,7,2,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,57.14,,1
18,896,2020-04-13,Goa,5,0,7,2,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,57.14,,1
19,927,2020-04-14,Goa,5,0,7,2,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,28.57,,1
20,959,2020-04-15,Goa,5,0,7,2,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,28.57,,1
21,991,2020-04-16,Goa,5,0,7,2,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,28.57,57.14,1
22,1023,2020-04-17,Goa,6,0,7,1,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,28.57,57.14,1
23,1055,2020-04-18,Goa,6,0,7,1,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,14.29,57.14,1
24,1087,2020-04-19,Goa,6,0,7,1,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,14.29,57.14,1
25,1119,2020-04-20,Goa,7,0,7,0,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,0.0,28.57,1
26,1151,2020-04-21,Goa,7,0,7,0,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,0.0,28.57,1
27,1183,2020-04-22,Goa,7,0,7,0,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,0.0,28.57,1
28,1215,2020-04-23,Goa,7,0,7,0,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,0.0,28.57,1
29,1247,2020-04-24,Goa,7,0,7,0,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,0.0,14.29,1
30,1279,2020-04-25,Goa,7,0,7,0,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,0.0,14.29,1
31,1311,2020-04-26,Goa,7,0,7,0,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,0.0,0.0,1
32,1341,2020-04-27,Goa,7,0,7,0,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,0.0,0.0,1
33,1373,2020-04-28,Goa,7,0,7,0,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,0.0,0.0,1
34,1405,2020-04-29,Goa,7,0,7,0,88.7,394,11.2,2,0,0,2,1,5.0,65,4584,229,115,0.0,0.0,0.0,0.0,0.0,1
