,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,230,2020-03-20,Gujarat,0,0,2,2,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,,,,,,0
1,251,2020-03-21,Gujarat,0,0,7,7,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,,,,,,0
2,274,2020-03-22,Gujarat,0,1,18,17,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,,,,,,0
3,297,2020-03-23,Gujarat,0,1,29,28,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,93.1,,,,,0
4,320,2020-03-24,Gujarat,0,1,33,32,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,78.79,,,,,0
5,344,2020-03-25,Gujarat,0,1,38,37,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,52.63,94.74,,,,0
6,371,2020-03-26,Gujarat,0,3,43,40,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,32.56,83.72,,,,0
7,398,2020-03-27,Gujarat,0,3,43,40,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,23.26,58.14,95.35,,,0
8,425,2020-03-28,Gujarat,0,3,45,42,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,15.56,35.56,84.44,,,0
9,452,2020-03-29,Gujarat,0,4,53,49,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,18.87,37.74,66.04,,,0
10,479,2020-03-30,Gujarat,1,5,58,52,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,25.86,34.48,50.0,,,0
11,506,2020-03-31,Gujarat,3,6,73,64,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,38.36,41.1,54.79,,,0
12,534,2020-04-01,Gujarat,5,6,82,71,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,35.37,47.56,53.66,,,0
13,562,2020-04-02,Gujarat,5,6,82,71,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,29.27,45.12,47.56,,,0
14,591,2020-04-03,Gujarat,8,7,87,72,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,16.09,39.08,50.57,,,0
15,621,2020-04-04,Gujarat,10,9,95,76,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,13.68,38.95,52.63,97.89,,0
16,651,2020-04-05,Gujarat,14,10,105,81,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,21.9,30.48,49.52,93.33,,0
17,681,2020-04-06,Gujarat,18,11,122,93,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,28.69,32.79,52.46,85.25,,0
18,711,2020-04-07,Gujarat,22,12,144,110,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,34.03,43.06,49.31,79.86,,0
19,742,2020-04-08,Gujarat,25,13,165,127,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,36.36,47.27,50.3,80.0,,0
20,773,2020-04-09,Gujarat,25,16,179,138,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,31.84,46.93,54.19,78.77,,0
21,804,2020-04-10,Gujarat,26,17,241,198,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,40.25,56.43,63.9,82.16,99.17,0
22,835,2020-04-11,Gujarat,31,19,308,258,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,46.43,60.39,69.16,86.04,97.73,0
23,866,2020-04-12,Gujarat,44,22,432,366,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,58.56,66.67,75.69,89.58,95.83,0
24,897,2020-04-13,Gujarat,44,25,516,447,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,53.29,68.02,76.36,89.73,94.38,0
25,928,2020-04-14,Gujarat,55,26,617,536,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,50.08,70.99,76.66,90.6,94.65,0
26,960,2020-04-15,Gujarat,59,28,650,563,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,33.54,62.92,74.62,88.77,94.15,0
27,992,2020-04-16,Gujarat,64,33,766,669,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,32.64,59.79,76.63,89.3,94.39,0
28,1024,2020-04-17,Gujarat,74,38,1021,909,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,39.57,57.69,76.4,91.97,95.79,0
29,1056,2020-04-18,Gujarat,86,41,1099,972,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,40.86,53.05,71.97,92.08,95.91,0
30,1088,2020-04-19,Gujarat,93,53,1376,1230,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,44.33,55.16,68.6,93.1,96.15,0
31,1120,2020-04-20,Gujarat,105,63,1743,1575,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,41.42,62.71,70.4,93.98,96.67,0
32,1152,2020-04-21,Gujarat,131,71,1939,1737,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,43.32,60.5,68.18,93.71,96.24,0
33,1184,2020-04-22,Gujarat,139,90,2178,1949,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,36.82,53.12,70.16,93.39,96.24,0
34,1216,2020-04-23,Gujarat,179,103,2407,2125,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,27.59,54.34,68.18,93.14,96.59,0
35,1248,2020-04-24,Gujarat,258,112,2624,2254,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,26.11,47.56,61.09,93.18,96.68,0
36,1280,2020-04-25,Gujarat,265,127,2815,2423,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,22.63,38.08,60.96,91.44,96.63,0
37,1312,2020-04-26,Gujarat,282,133,3071,2656,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,21.62,36.86,55.19,89.97,96.58,0
38,1342,2020-04-27,Gujarat,313,151,3301,2837,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,20.51,34.02,47.2,86.91,96.3,0
39,1374,2020-04-28,Gujarat,394,162,3548,2992,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,20.66,32.16,45.35,85.46,95.94,0
40,1406,2020-04-29,Gujarat,434,181,3744,3129,78.0,308,7.9,27,9,19,5,3,11.17,1408,64862,3243,1622,17.98,29.91,41.83,83.52,95.59,0
