,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,39,2020-03-04,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,,,,,,0
1,45,2020-03-05,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,,,,,,0
2,51,2020-03-06,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,,,,,,0
3,57,2020-03-07,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,,,,,0
4,65,2020-03-08,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,,,,,0
5,73,2020-03-09,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,0.0,,,,0
6,85,2020-03-10,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,0.0,,,,0
7,97,2020-03-11,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,0.0,0.0,,,1
8,110,2020-03-12,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,0.0,0.0,,,1
9,123,2020-03-13,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,0.0,0.0,,,1
10,136,2020-03-14,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,0.0,0.0,,,1
11,149,2020-03-15,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,0.0,0.0,,,1
12,163,2020-03-16,Haryana,0,0,14,14,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,0.0,0.0,,,1
13,178,2020-03-17,Haryana,0,0,15,15,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,6.67,6.67,6.67,,,1
14,193,2020-03-18,Haryana,0,0,17,17,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,17.65,17.65,17.65,,,0
15,211,2020-03-19,Haryana,0,0,17,17,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,17.65,17.65,17.65,17.65,,0
16,231,2020-03-20,Haryana,0,0,17,17,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,11.76,17.65,17.65,17.65,,0
17,252,2020-03-21,Haryana,0,0,17,17,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,0.0,17.65,17.65,17.65,,0
18,275,2020-03-22,Haryana,0,0,21,21,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,19.05,28.57,33.33,33.33,,0
19,298,2020-03-23,Haryana,11,0,26,15,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,34.62,34.62,46.15,46.15,,0
20,321,2020-03-24,Haryana,11,0,28,17,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,39.29,39.29,46.43,50.0,,0
21,345,2020-03-25,Haryana,11,0,28,17,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,25.0,39.29,39.29,50.0,50.0,0
22,372,2020-03-26,Haryana,11,0,30,19,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,13.33,43.33,43.33,53.33,53.33,0
23,399,2020-03-27,Haryana,11,0,30,19,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,6.67,30.0,43.33,53.33,53.33,0
24,426,2020-03-28,Haryana,12,0,33,21,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,15.15,21.21,48.48,57.58,57.58,0
25,453,2020-03-29,Haryana,12,0,33,21,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,9.09,15.15,36.36,57.58,57.58,0
26,480,2020-03-30,Haryana,17,0,33,16,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,9.09,15.15,21.21,57.58,57.58,0
27,507,2020-03-31,Haryana,21,0,40,19,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,17.5,25.0,30.0,65.0,65.0,0
28,535,2020-04-01,Haryana,21,0,43,22,75.6,573,8.7,19,2,18,2,0,5.0,2148,36141,1807,904,23.26,30.23,34.88,65.12,67.44,0
