,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,253,2020-03-21,Himachal Pradesh,0,0,2,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,,,,,,0
1,276,2020-03-22,Himachal Pradesh,0,0,2,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,,,,,,0
2,299,2020-03-23,Himachal Pradesh,0,0,2,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,,,,,,0
3,322,2020-03-24,Himachal Pradesh,0,1,3,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,33.33,,,,,0
4,346,2020-03-25,Himachal Pradesh,0,1,3,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,33.33,,,,,0
5,373,2020-03-26,Himachal Pradesh,0,1,3,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,33.33,33.33,,,,0
6,400,2020-03-27,Himachal Pradesh,0,1,3,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,0.0,33.33,,,,0
7,427,2020-03-28,Himachal Pradesh,0,1,3,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,0.0,33.33,33.33,,,0
8,454,2020-03-29,Himachal Pradesh,0,1,3,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,0.0,0.0,33.33,,,0
9,481,2020-03-30,Himachal Pradesh,0,1,3,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,0.0,0.0,33.33,,,0
10,508,2020-03-31,Himachal Pradesh,0,1,3,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,0.0,0.0,0.0,,,1
11,536,2020-04-01,Himachal Pradesh,0,1,3,2,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,0.0,0.0,0.0,,,1
12,564,2020-04-02,Himachal Pradesh,1,1,3,1,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,0.0,0.0,0.0,,,1
13,593,2020-04-03,Himachal Pradesh,1,1,6,4,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,50.0,50.0,50.0,,,0
14,623,2020-04-04,Himachal Pradesh,1,1,6,4,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,50.0,50.0,50.0,,,0
15,653,2020-04-05,Himachal Pradesh,1,1,6,4,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,50.0,50.0,50.0,66.67,,0
16,683,2020-04-06,Himachal Pradesh,1,1,13,11,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,53.85,76.92,76.92,84.62,,0
17,713,2020-04-07,Himachal Pradesh,2,1,13,10,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,53.85,76.92,76.92,84.62,,0
18,744,2020-04-08,Himachal Pradesh,2,1,18,15,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,66.67,66.67,83.33,83.33,,0
19,775,2020-04-09,Himachal Pradesh,2,1,18,15,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,27.78,66.67,83.33,83.33,,0
20,806,2020-04-10,Himachal Pradesh,2,1,18,15,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,27.78,66.67,66.67,83.33,,0
21,837,2020-04-11,Himachal Pradesh,6,1,28,21,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,35.71,53.57,78.57,89.29,92.86,0
22,868,2020-04-12,Himachal Pradesh,6,1,32,25,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,43.75,59.38,81.25,90.62,93.75,0
23,899,2020-04-13,Himachal Pradesh,13,1,32,18,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,43.75,43.75,59.38,90.62,93.75,0
24,930,2020-04-14,Himachal Pradesh,13,1,32,18,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,12.5,43.75,59.38,90.62,90.62,0
25,962,2020-04-15,Himachal Pradesh,13,1,33,19,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,3.03,45.45,45.45,90.91,90.91,0
26,994,2020-04-16,Himachal Pradesh,16,1,35,18,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,8.57,20.0,48.57,91.43,91.43,0
27,1026,2020-04-17,Himachal Pradesh,16,1,35,18,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,8.57,8.57,48.57,91.43,91.43,0
28,1058,2020-04-18,Himachal Pradesh,16,1,36,19,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,8.33,11.11,22.22,83.33,91.67,0
29,1090,2020-04-19,Himachal Pradesh,16,1,39,22,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,10.26,17.95,17.95,84.62,92.31,0
30,1122,2020-04-20,Himachal Pradesh,16,1,39,22,82.8,123,10.2,6,0,6,6,0,5.0,1036,16040,802,401,10.26,15.38,17.95,84.62,92.31,0
