,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,81,2020-03-09,Jammu and Kashmir,0,0,1,1,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,,,,,,0
1,93,2020-03-10,Jammu and Kashmir,0,0,1,1,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,,,,,,0
2,105,2020-03-11,Jammu and Kashmir,0,0,1,1,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,,,,,,0
3,118,2020-03-12,Jammu and Kashmir,0,0,1,1,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,0.0,,,,,0
4,131,2020-03-13,Jammu and Kashmir,0,0,1,1,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,0.0,,,,,0
5,144,2020-03-14,Jammu and Kashmir,0,0,2,2,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,50.0,50.0,,,,0
6,157,2020-03-15,Jammu and Kashmir,0,0,2,2,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,50.0,50.0,,,,0
7,172,2020-03-16,Jammu and Kashmir,0,0,3,3,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,66.67,66.67,66.67,,,0
8,187,2020-03-17,Jammu and Kashmir,0,0,3,3,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,33.33,66.67,66.67,,,0
9,203,2020-03-18,Jammu and Kashmir,0,0,3,3,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,33.33,66.67,66.67,,,0
10,222,2020-03-19,Jammu and Kashmir,0,0,4,4,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,25.0,50.0,75.0,,,0
11,242,2020-03-20,Jammu and Kashmir,0,0,4,4,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,25.0,50.0,75.0,,,0
12,254,2020-03-21,Jammu and Kashmir,0,0,4,4,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,25.0,25.0,50.0,,,0
13,277,2020-03-22,Jammu and Kashmir,0,0,4,4,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,0.0,25.0,50.0,,,0
14,300,2020-03-23,Jammu and Kashmir,0,0,4,4,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,0.0,25.0,25.0,,,0
15,323,2020-03-24,Jammu and Kashmir,0,0,4,4,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,0.0,0.0,25.0,75.0,,0
16,347,2020-03-25,Jammu and Kashmir,1,0,7,6,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,42.86,42.86,57.14,85.71,,0
17,374,2020-03-26,Jammu and Kashmir,1,1,13,11,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,69.23,69.23,69.23,92.31,,0
18,401,2020-03-27,Jammu and Kashmir,1,1,13,11,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,69.23,69.23,69.23,92.31,,0
19,428,2020-03-28,Jammu and Kashmir,1,1,20,18,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,65.0,80.0,80.0,95.0,,0
20,455,2020-03-29,Jammu and Kashmir,1,1,31,29,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,58.06,87.1,87.1,93.55,,0
21,482,2020-03-30,Jammu and Kashmir,1,2,31,28,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,58.06,77.42,87.1,93.55,96.77,0
22,509,2020-03-31,Jammu and Kashmir,2,2,54,50,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,62.96,75.93,92.59,94.44,98.15,0
23,537,2020-04-01,Jammu and Kashmir,2,2,62,58,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,50.0,79.03,88.71,95.16,98.39,0
24,565,2020-04-02,Jammu and Kashmir,2,2,62,58,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,50.0,67.74,79.03,95.16,98.39,0
25,594,2020-04-03,Jammu and Kashmir,3,2,70,65,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,22.86,55.71,81.43,94.29,98.57,0
26,624,2020-04-04,Jammu and Kashmir,3,2,75,70,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,17.33,58.67,73.33,94.67,97.33,0
27,654,2020-04-05,Jammu and Kashmir,4,2,92,86,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,32.61,41.3,66.3,95.65,97.83,0
28,684,2020-04-06,Jammu and Kashmir,4,2,106,100,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,33.96,41.51,70.75,96.23,97.17,0
29,714,2020-04-07,Jammu and Kashmir,4,2,109,103,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,31.19,43.12,50.46,96.33,97.25,0
30,745,2020-04-08,Jammu and Kashmir,4,2,116,110,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,20.69,39.66,46.55,96.55,97.41,0
31,776,2020-04-09,Jammu and Kashmir,4,4,158,150,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,32.91,52.53,60.76,95.57,97.47,0
32,807,2020-04-10,Jammu and Kashmir,4,4,158,150,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,31.01,41.77,55.7,91.77,97.47,0
33,838,2020-04-11,Jammu and Kashmir,6,4,207,197,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,43.96,48.79,63.77,93.72,98.07,0
34,869,2020-04-12,Jammu and Kashmir,6,4,207,197,67.2,124,7.4,14,4,12,4,1,5.0,157,7995,400,200,23.67,47.34,55.56,90.34,98.07,0
