,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,538,2020-04-01,Jharkhand,0,0,1,1,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,,,,,,0
1,566,2020-04-02,Jharkhand,0,0,1,1,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,,,,,,0
2,595,2020-04-03,Jharkhand,0,0,2,2,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,,,,,,0
3,625,2020-04-04,Jharkhand,0,0,2,2,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,50.0,,,,,0
4,655,2020-04-05,Jharkhand,0,0,2,2,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,50.0,,,,,0
5,685,2020-04-06,Jharkhand,0,0,3,3,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,33.33,66.67,,,,0
6,715,2020-04-07,Jharkhand,0,0,4,4,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,50.0,75.0,,,,0
7,746,2020-04-08,Jharkhand,0,0,4,4,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,50.0,50.0,75.0,,,0
8,777,2020-04-09,Jharkhand,0,0,4,4,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,25.0,50.0,75.0,,,0
9,808,2020-04-10,Jharkhand,0,1,13,12,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,69.23,84.62,84.62,,,0
10,839,2020-04-11,Jharkhand,0,1,14,13,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,71.43,78.57,85.71,,,0
11,870,2020-04-12,Jharkhand,0,1,17,16,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,76.47,76.47,88.24,,,0
12,901,2020-04-13,Jharkhand,0,2,19,17,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,31.58,78.95,84.21,,,0
13,932,2020-04-14,Jharkhand,0,2,24,22,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,41.67,83.33,83.33,,,0
14,964,2020-04-15,Jharkhand,0,2,27,25,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,37.04,51.85,85.19,,,0
15,996,2020-04-16,Jharkhand,0,2,28,26,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,32.14,50.0,85.71,96.43,,0
16,1028,2020-04-17,Jharkhand,0,2,29,27,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,17.24,41.38,55.17,96.55,,0
17,1060,2020-04-18,Jharkhand,0,2,33,31,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,18.18,42.42,57.58,93.94,,0
18,1092,2020-04-19,Jharkhand,0,2,34,32,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,17.65,29.41,50.0,94.12,,0
19,1124,2020-04-20,Jharkhand,0,2,42,40,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,30.95,35.71,54.76,95.24,,0
20,1156,2020-04-21,Jharkhand,0,2,46,44,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,28.26,39.13,47.83,93.48,,0
21,1188,2020-04-22,Jharkhand,0,3,45,42,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,24.44,35.56,40.0,91.11,97.78,0
22,1220,2020-04-23,Jharkhand,8,3,49,38,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,14.29,32.65,42.86,91.84,97.96,0
23,1252,2020-04-24,Jharkhand,8,3,53,42,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,13.21,35.85,45.28,92.45,96.23,0
24,1284,2020-04-25,Jharkhand,8,3,57,46,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,21.05,26.32,42.11,77.19,96.49,0
25,1316,2020-04-26,Jharkhand,13,3,67,51,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,26.87,31.34,49.25,79.1,97.01,0
26,1346,2020-04-27,Jharkhand,13,3,82,66,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,35.37,45.12,48.78,79.27,96.34,0
27,1378,2020-04-28,Jharkhand,13,3,82,66,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,30.49,40.24,43.9,76.83,95.12,0
28,1410,2020-04-29,Jharkhand,17,3,103,83,66.4,414,7.1,8,1,9,14,1,5.0,1364,26496,1325,662,34.95,48.54,56.31,76.7,96.12,0
