,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,0,2020-01-30,Kerala,0,0,1,1,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,,,,,,0
1,1,2020-01-31,Kerala,0,0,1,1,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,,,,,,0
2,2,2020-02-01,Kerala,0,0,2,2,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,,,,,,0
3,3,2020-02-02,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,66.67,,,,,0
4,4,2020-02-03,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,66.67,,,,,0
5,5,2020-02-04,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,33.33,66.67,,,,0
6,6,2020-02-05,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,66.67,,,,0
7,7,2020-02-06,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,33.33,66.67,,,0
8,8,2020-02-07,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,66.67,,,0
9,9,2020-02-08,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,33.33,,,0
10,10,2020-02-09,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,,,1
11,11,2020-02-10,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,,,1
12,12,2020-02-11,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,,,1
13,13,2020-02-12,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,,,1
14,14,2020-02-13,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,,,1
15,15,2020-02-14,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,66.67,,1
16,16,2020-02-15,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,66.67,,1
17,17,2020-02-16,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,33.33,,1
18,18,2020-02-17,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,,1
19,19,2020-02-18,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,,1
20,20,2020-02-19,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,,1
21,21,2020-02-20,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,66.67,1
22,22,2020-02-21,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,66.67,1
23,23,2020-02-22,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,33.33,1
24,24,2020-02-23,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
25,25,2020-02-24,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
26,26,2020-02-25,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
27,27,2020-02-26,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
28,28,2020-02-27,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
29,29,2020-02-28,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
30,30,2020-02-29,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
31,31,2020-03-01,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
32,33,2020-03-02,Kerala,0,0,3,3,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
33,36,2020-03-03,Kerala,3,0,3,0,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
34,40,2020-03-04,Kerala,3,0,3,0,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
35,46,2020-03-05,Kerala,3,0,3,0,94.0,860,12.6,14,2,10,2,4,10.12,3342,99227,4961,2481,0.0,0.0,0.0,0.0,0.0,1
