,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,62,2020-03-07,Ladakh,0,0,2,2,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,,,,,,0
1,70,2020-03-08,Ladakh,0,0,2,2,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,,,,,,0
2,82,2020-03-09,Ladakh,0,0,2,2,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,,,,,,0
3,94,2020-03-10,Ladakh,0,0,2,2,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,,,,,0
4,106,2020-03-11,Ladakh,0,0,2,2,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,,,,,0
5,119,2020-03-12,Ladakh,0,0,3,3,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,33.33,33.33,,,,0
6,132,2020-03-13,Ladakh,0,0,3,3,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,33.33,33.33,,,,0
7,145,2020-03-14,Ladakh,0,0,3,3,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,33.33,33.33,33.33,,,0
8,158,2020-03-15,Ladakh,0,0,3,3,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,33.33,33.33,,,0
9,173,2020-03-16,Ladakh,0,0,4,4,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,25.0,50.0,50.0,,,0
10,188,2020-03-17,Ladakh,0,0,6,6,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,50.0,50.0,66.67,,,0
11,204,2020-03-18,Ladakh,0,0,8,8,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,62.5,62.5,75.0,,,0
12,223,2020-03-19,Ladakh,0,0,8,8,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,50.0,62.5,62.5,,,0
13,243,2020-03-20,Ladakh,0,0,10,10,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,40.0,70.0,70.0,,,0
14,257,2020-03-21,Ladakh,0,0,13,13,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,38.46,69.23,76.92,,,0
15,280,2020-03-22,Ladakh,0,0,13,13,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,38.46,53.85,76.92,84.62,,0
16,303,2020-03-23,Ladakh,0,0,13,13,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,23.08,38.46,69.23,84.62,,0
17,326,2020-03-24,Ladakh,0,0,13,13,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,38.46,53.85,84.62,,0
18,350,2020-03-25,Ladakh,0,0,13,13,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,23.08,38.46,84.62,,0
19,377,2020-03-26,Ladakh,0,0,13,13,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,0.0,38.46,84.62,,0
20,404,2020-03-27,Ladakh,3,0,13,10,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,0.0,23.08,76.92,,0
21,431,2020-03-28,Ladakh,3,0,13,10,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,0.0,0.0,76.92,84.62,1
22,458,2020-03-29,Ladakh,3,0,13,10,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,0.0,0.0,76.92,84.62,1
23,485,2020-03-30,Ladakh,3,0,13,10,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,0.0,0.0,76.92,84.62,1
24,512,2020-03-31,Ladakh,3,0,13,10,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,0.0,0.0,69.23,84.62,1
25,541,2020-04-01,Ladakh,3,0,13,10,91.8,2149,8.2,2,0,2,0,0,5.0,0,0,0,0,0.0,0.0,0.0,53.85,84.62,1
