,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,258,2020-03-21,Madhya Pradesh,0,0,4,4,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,,,,,,0
1,281,2020-03-22,Madhya Pradesh,0,0,4,4,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,,,,,,0
2,304,2020-03-23,Madhya Pradesh,0,0,6,6,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,,,,,,0
3,327,2020-03-24,Madhya Pradesh,0,0,7,7,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,42.86,,,,,0
4,351,2020-03-25,Madhya Pradesh,0,0,14,14,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,71.43,,,,,0
5,378,2020-03-26,Madhya Pradesh,0,1,20,19,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,70.0,80.0,,,,0
6,405,2020-03-27,Madhya Pradesh,0,1,20,19,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,65.0,80.0,,,,0
7,432,2020-03-28,Madhya Pradesh,0,2,30,28,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,53.33,80.0,86.67,,,0
8,459,2020-03-29,Madhya Pradesh,0,2,30,28,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,33.33,76.67,86.67,,,0
9,486,2020-03-30,Madhya Pradesh,0,2,33,31,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,39.39,57.58,81.82,,,0
10,513,2020-03-31,Madhya Pradesh,0,3,47,44,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,36.17,57.45,85.11,,,0
11,542,2020-04-01,Madhya Pradesh,0,3,66,63,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,54.55,69.7,78.79,,,0
12,570,2020-04-02,Madhya Pradesh,0,6,99,93,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,66.67,69.7,79.8,,,0
13,599,2020-04-03,Madhya Pradesh,0,6,99,93,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,52.53,69.7,79.8,,,0
14,629,2020-04-04,Madhya Pradesh,0,6,104,98,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,36.54,68.27,71.15,,,0
15,659,2020-04-05,Madhya Pradesh,0,6,104,98,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,4.81,54.81,71.15,96.15,,0
16,689,2020-04-06,Madhya Pradesh,0,9,165,156,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,40.0,60.0,80.0,97.58,,0
17,719,2020-04-07,Madhya Pradesh,0,9,165,156,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,36.97,40.0,71.52,96.36,,0
18,750,2020-04-08,Madhya Pradesh,0,13,229,216,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,54.59,56.77,71.18,96.94,,0
19,781,2020-04-09,Madhya Pradesh,0,13,229,216,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,27.95,54.59,56.77,93.89,,0
20,812,2020-04-10,Madhya Pradesh,0,16,259,243,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,36.29,59.85,61.78,92.28,,0
21,843,2020-04-11,Madhya Pradesh,0,33,435,402,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,47.36,62.07,76.09,95.4,99.08,0
22,874,2020-04-12,Madhya Pradesh,0,36,532,496,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,56.95,68.98,80.45,94.36,99.25,0
23,905,2020-04-13,Madhya Pradesh,0,36,564,528,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,54.08,59.4,70.74,94.68,98.94,0
24,936,2020-04-14,Madhya Pradesh,50,50,730,630,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,40.41,68.63,77.4,95.48,99.04,0
25,968,2020-04-15,Madhya Pradesh,51,50,730,629,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,27.12,64.52,68.63,93.56,98.08,0
26,1000,2020-04-16,Madhya Pradesh,64,53,987,870,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,42.86,55.93,76.8,93.31,97.97,0
27,1032,2020-04-17,Madhya Pradesh,65,57,1308,1186,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,44.19,59.33,80.2,92.43,98.47,0
28,1064,2020-04-18,Madhya Pradesh,69,69,1310,1172,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,44.27,56.95,66.79,92.44,97.71,0
29,1096,2020-04-19,Madhya Pradesh,127,70,1407,1210,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,29.85,48.12,62.19,92.61,97.87,0
30,1128,2020-04-20,Madhya Pradesh,127,70,1407,1210,69.3,308,7.9,27,9,19,24,2,5.0,971,64939,3247,1623,7.04,48.12,59.91,92.61,97.65,0
