,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,76,2020-03-09,Maharashtra,0,0,2,2,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,,,,,,0
1,88,2020-03-10,Maharashtra,0,0,5,5,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,,,,,,0
2,100,2020-03-11,Maharashtra,0,0,10,10,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,,,,,,0
3,113,2020-03-12,Maharashtra,0,0,11,11,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,81.82,,,,,0
4,126,2020-03-13,Maharashtra,0,0,11,11,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,54.55,,,,,0
5,139,2020-03-14,Maharashtra,0,0,14,14,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,28.57,85.71,,,,0
6,152,2020-03-15,Maharashtra,0,0,32,32,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,65.62,84.38,,,,0
7,166,2020-03-16,Maharashtra,0,0,32,32,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,65.62,68.75,93.75,,,0
8,181,2020-03-17,Maharashtra,0,1,39,38,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,64.1,71.79,87.18,,,0
9,196,2020-03-18,Maharashtra,0,1,42,41,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,23.81,73.81,76.19,,,0
10,214,2020-03-19,Maharashtra,0,1,47,46,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,31.91,70.21,76.6,,,0
11,234,2020-03-20,Maharashtra,0,1,47,46,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,17.02,31.91,76.6,,,0
12,259,2020-03-21,Maharashtra,0,1,63,62,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,33.33,49.21,77.78,,,0
13,282,2020-03-22,Maharashtra,0,2,67,65,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,29.85,41.79,52.24,,,0
14,305,2020-03-23,Maharashtra,0,2,74,72,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,36.49,43.24,56.76,,,0
15,328,2020-03-24,Maharashtra,0,2,89,87,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,29.21,47.19,56.18,97.75,,0
16,352,2020-03-25,Maharashtra,1,3,128,124,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,47.66,63.28,67.19,96.09,,0
17,379,2020-03-26,Maharashtra,1,3,124,120,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,40.32,49.19,62.1,91.94,,0
18,406,2020-03-27,Maharashtra,15,4,130,111,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,31.54,48.46,63.85,91.54,,0
19,433,2020-03-28,Maharashtra,25,5,180,150,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,28.89,58.89,65.0,93.89,,0
20,460,2020-03-29,Maharashtra,25,6,186,155,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,33.33,52.15,63.98,92.47,,0
21,487,2020-03-30,Maharashtra,25,8,193,160,82.3,365,9.9,32,14,16,6,3,67.0,3203,231739,11587,5793,32.64,33.68,61.66,83.42,98.96,0
