,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,364,2020-03-26,Andaman and Nicobar Islands,0,0,1,1,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,,,,,,0
1,391,2020-03-27,Andaman and Nicobar Islands,0,0,1,1,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,,,,,,0
2,418,2020-03-28,Andaman and Nicobar Islands,0,0,6,6,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,,,,,,0
3,445,2020-03-29,Andaman and Nicobar Islands,0,0,9,9,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,88.89,,,,,0
4,472,2020-03-30,Andaman and Nicobar Islands,0,0,9,9,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,88.89,,,,,0
5,499,2020-03-31,Andaman and Nicobar Islands,0,0,10,10,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,40.0,90.0,,,,0
6,526,2020-04-01,Andaman and Nicobar Islands,1,0,10,9,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,10.0,90.0,,,,0
7,554,2020-04-02,Andaman and Nicobar Islands,0,0,10,10,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,10.0,40.0,90.0,,,0
8,582,2020-04-03,Andaman and Nicobar Islands,0,0,10,10,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,10.0,90.0,,,0
9,612,2020-04-04,Andaman and Nicobar Islands,0,0,10,10,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,10.0,40.0,,,0
10,642,2020-04-05,Andaman and Nicobar Islands,0,0,10,10,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,0.0,10.0,,,1
11,672,2020-04-06,Andaman and Nicobar Islands,0,0,10,10,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,0.0,10.0,,,1
12,702,2020-04-07,Andaman and Nicobar Islands,0,0,10,10,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,0.0,0.0,,,1
13,733,2020-04-08,Andaman and Nicobar Islands,0,0,10,10,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,0.0,0.0,,,1
14,764,2020-04-09,Andaman and Nicobar Islands,0,0,11,11,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,9.09,9.09,9.09,,,1
15,795,2020-04-10,Andaman and Nicobar Islands,0,0,11,11,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,9.09,9.09,9.09,90.91,,1
16,826,2020-04-11,Andaman and Nicobar Islands,0,0,11,11,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,9.09,9.09,9.09,90.91,,1
17,857,2020-04-12,Andaman and Nicobar Islands,10,0,11,1,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,9.09,9.09,45.45,,1
18,888,2020-04-13,Andaman and Nicobar Islands,10,0,11,1,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,9.09,9.09,18.18,,1
19,919,2020-04-14,Andaman and Nicobar Islands,10,0,11,1,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,0.0,9.09,18.18,,1
20,951,2020-04-15,Andaman and Nicobar Islands,10,0,11,1,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,0.0,9.09,9.09,,1
21,983,2020-04-16,Andaman and Nicobar Islands,10,0,11,1,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,0.0,0.0,9.09,90.91,1
22,1015,2020-04-17,Andaman and Nicobar Islands,10,0,11,1,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,0.0,0.0,0.0,9.09,90.91,1
23,1047,2020-04-18,Andaman and Nicobar Islands,11,0,12,1,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,8.33,8.33,8.33,16.67,50.0,1
24,1079,2020-04-19,Andaman and Nicobar Islands,11,0,14,3,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,21.43,21.43,21.43,28.57,35.71,0
25,1111,2020-04-20,Andaman and Nicobar Islands,11,0,15,4,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,26.67,26.67,26.67,33.33,40.0,0
26,1143,2020-04-21,Andaman and Nicobar Islands,11,0,16,5,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,25.0,31.25,31.25,37.5,37.5,0
27,1175,2020-04-22,Andaman and Nicobar Islands,11,0,16,5,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,12.5,31.25,31.25,37.5,37.5,0
28,1207,2020-04-23,Andaman and Nicobar Islands,11,0,18,7,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,16.67,33.33,38.89,44.44,44.44,0
29,1239,2020-04-24,Andaman and Nicobar Islands,11,0,22,11,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,27.27,36.36,50.0,50.0,54.55,0
30,1271,2020-04-25,Andaman and Nicobar Islands,11,0,27,16,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,40.74,44.44,55.56,59.26,62.96,0
31,1303,2020-04-26,Andaman and Nicobar Islands,11,0,33,22,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,45.45,51.52,57.58,66.67,69.7,0
32,1333,2020-04-27,Andaman and Nicobar Islands,11,0,33,22,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,33.33,51.52,54.55,66.67,69.7,0
33,1365,2020-04-28,Andaman and Nicobar Islands,11,0,33,22,86.6,46,6.7,1,1,0,2,1,5.0,36,1294,65,32,18.18,45.45,51.52,66.67,69.7,0
