,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,528,2020-04-01,Assam,0,0,1,1,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,,,,,,0
1,556,2020-04-02,Assam,0,0,1,1,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,,,,,,0
2,585,2020-04-03,Assam,0,0,16,16,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,,,,,,0
3,615,2020-04-04,Assam,0,0,24,24,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,95.83,,,,,0
4,645,2020-04-05,Assam,0,0,24,24,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,95.83,,,,,0
5,675,2020-04-06,Assam,0,0,26,26,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,38.46,96.15,,,,0
6,705,2020-04-07,Assam,0,0,26,26,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,7.69,96.15,,,,0
7,736,2020-04-08,Assam,0,0,27,27,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,11.11,40.74,96.3,,,0
8,767,2020-04-09,Assam,0,0,28,28,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,7.14,14.29,96.43,,,0
9,798,2020-04-10,Assam,0,0,29,29,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,10.34,17.24,44.83,,,0
10,829,2020-04-11,Assam,0,1,29,28,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,6.9,10.34,17.24,,,0
11,860,2020-04-12,Assam,0,1,29,28,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,3.45,10.34,17.24,,,0
12,891,2020-04-13,Assam,0,1,29,28,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,0.0,6.9,10.34,,,0
13,922,2020-04-14,Assam,0,1,21,20,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,-38.1,-33.33,-23.81,,,1
14,954,2020-04-15,Assam,0,1,32,31,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,9.38,9.38,15.62,,,0
15,986,2020-04-16,Assam,0,1,33,32,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,12.12,12.12,15.15,96.97,,0
16,1018,2020-04-17,Assam,5,1,35,29,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,40.0,17.14,17.14,97.14,,0
17,1050,2020-04-18,Assam,5,1,35,29,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,8.57,17.14,17.14,54.29,,0
18,1082,2020-04-19,Assam,12,1,35,22,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,5.71,40.0,17.14,31.43,,0
19,1114,2020-04-20,Assam,17,1,35,17,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,0.0,8.57,17.14,31.43,,0
20,1146,2020-04-21,Assam,19,1,35,15,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,0.0,5.71,40.0,25.71,,0
21,1178,2020-04-22,Assam,19,1,35,15,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,0.0,0.0,8.57,25.71,97.14,1
22,1210,2020-04-23,Assam,19,1,35,15,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,0.0,0.0,5.71,22.86,97.14,1
23,1242,2020-04-24,Assam,19,1,36,16,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,2.78,2.78,2.78,22.22,55.56,1
24,1274,2020-04-25,Assam,19,1,36,16,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,2.78,2.78,2.78,19.44,33.33,1
25,1306,2020-04-26,Assam,19,1,36,16,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,2.78,2.78,2.78,19.44,33.33,1
26,1336,2020-04-27,Assam,27,1,36,8,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,0.0,2.78,2.78,19.44,27.78,1
27,1368,2020-04-28,Assam,27,1,36,8,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,0.0,2.78,2.78,19.44,27.78,1
28,1400,2020-04-29,Assam,27,1,38,10,72.2,398,6.7,12,0,3,30,1,5.0,1729,24178,1209,604,5.26,5.26,7.89,44.74,28.95,1
