,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,74,2020-03-09,Karnataka,0,0,1,1,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,,,,,,0
1,86,2020-03-10,Karnataka,0,0,4,4,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,,,,,,0
2,98,2020-03-11,Karnataka,0,0,4,4,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,,,,,,0
3,111,2020-03-12,Karnataka,0,1,4,3,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,75.0,,,,,0
4,124,2020-03-13,Karnataka,0,1,5,4,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,20.0,,,,,0
5,137,2020-03-14,Karnataka,0,1,6,5,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,33.33,83.33,,,,0
6,150,2020-03-15,Karnataka,0,1,6,5,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,33.33,33.33,,,,0
7,164,2020-03-16,Karnataka,0,1,6,5,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,16.67,33.33,83.33,,,0
8,179,2020-03-17,Karnataka,0,1,11,10,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,45.45,63.64,63.64,,,0
9,194,2020-03-18,Karnataka,0,1,11,10,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,45.45,54.55,63.64,,,0
10,212,2020-03-19,Karnataka,0,1,14,13,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,57.14,57.14,71.43,,,0
11,232,2020-03-20,Karnataka,0,1,15,14,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,26.67,60.0,66.67,,,0
12,255,2020-03-21,Karnataka,1,1,15,13,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,26.67,60.0,60.0,,,0
13,278,2020-03-22,Karnataka,2,1,26,23,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,46.15,57.69,76.92,,,0
14,301,2020-03-23,Karnataka,2,1,33,30,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,54.55,66.67,81.82,,,0
15,324,2020-03-24,Karnataka,3,1,37,33,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,59.46,62.16,70.27,97.3,,0
16,348,2020-03-25,Karnataka,3,1,41,37,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,36.59,63.41,73.17,90.24,,0
17,375,2020-03-26,Karnataka,3,2,55,50,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,40.0,72.73,74.55,92.73,,0
18,402,2020-03-27,Karnataka,3,2,55,50,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,32.73,52.73,72.73,92.73,,0
19,429,2020-03-28,Karnataka,3,2,55,50,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,25.45,40.0,72.73,90.91,,0
20,456,2020-03-29,Karnataka,5,3,76,68,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,27.63,51.32,65.79,92.11,,0
21,483,2020-03-30,Karnataka,5,3,80,72,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,31.25,48.75,58.75,92.5,98.75,0
22,510,2020-03-31,Karnataka,5,3,83,75,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,33.73,33.73,55.42,92.77,95.18,0
23,539,2020-04-01,Karnataka,8,3,101,90,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,24.75,45.54,59.41,89.11,96.04,0
24,567,2020-04-02,Karnataka,9,3,110,98,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,27.27,50.0,50.0,90.0,96.36,0
25,596,2020-04-03,Karnataka,10,3,124,111,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,33.06,38.71,55.65,88.71,95.97,0
26,626,2020-04-04,Karnataka,12,3,128,113,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,21.09,37.5,57.03,88.28,95.31,0
27,656,2020-04-05,Karnataka,12,4,144,128,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,23.61,42.36,47.22,89.58,95.83,0
28,686,2020-04-06,Karnataka,12,4,151,135,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,17.88,33.11,47.02,82.78,96.03,0
29,716,2020-04-07,Karnataka,12,4,151,135,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,15.23,27.15,45.03,78.15,92.72,0
30,747,2020-04-08,Karnataka,25,4,175,146,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,17.71,29.14,42.29,78.86,93.71,0
31,778,2020-04-09,Karnataka,28,5,181,148,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,16.57,29.28,39.23,77.35,92.27,0
32,809,2020-04-10,Karnataka,28,5,181,148,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,16.57,20.44,31.49,69.61,91.71,0
33,840,2020-04-11,Karnataka,31,6,207,170,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,15.46,27.05,38.16,73.43,92.75,0
34,871,2020-04-12,Karnataka,37,6,214,171,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,15.42,29.44,32.71,74.3,87.85,0
35,902,2020-04-13,Karnataka,57,6,232,169,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,21.98,24.57,34.91,67.24,85.78,0
36,933,2020-04-14,Karnataka,65,9,258,184,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,19.77,29.84,41.47,68.99,85.66,0
37,965,2020-04-15,Karnataka,71,10,260,179,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,17.69,30.38,32.69,68.08,84.23,0
38,997,2020-04-16,Karnataka,80,12,279,187,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,16.85,25.81,35.13,63.8,80.29,0
39,1029,2020-04-17,Karnataka,82,13,353,258,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,26.91,39.38,48.73,68.84,84.42,0
40,1061,2020-04-18,Karnataka,89,13,359,257,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,27.58,35.38,42.34,65.46,84.68,0
41,1093,2020-04-19,Karnataka,104,14,384,266,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,27.34,32.81,44.27,66.67,80.21,0
42,1125,2020-04-20,Karnataka,111,16,390,263,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,9.49,33.33,40.51,63.08,79.49,0
43,1157,2020-04-21,Karnataka,112,16,408,280,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,12.01,31.62,36.76,62.99,79.66,0
44,1189,2020-04-22,Karnataka,129,17,418,272,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,8.13,15.55,37.8,63.88,75.84,0
45,1221,2020-04-23,Karnataka,131,17,427,279,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,8.67,15.93,34.66,59.02,74.24,0
46,1253,2020-04-24,Karnataka,145,17,445,283,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,8.31,13.71,20.67,59.33,72.13,0
47,1285,2020-04-25,Karnataka,152,18,474,304,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,11.81,17.72,24.26,61.81,73.0,0
48,1317,2020-04-26,Karnataka,158,18,500,324,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,14.6,18.4,23.2,58.6,71.2,0
49,1347,2020-04-27,Karnataka,182,19,503,302,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,11.53,16.9,22.47,57.46,69.98,0
50,1379,2020-04-28,Karnataka,193,20,512,299,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,7.42,16.6,20.31,54.69,70.51,0
51,1411,2020-04-29,Karnataka,207,20,523,296,75.4,319,7.7,21,3,13,14,2,33.31,10684,262109,13105,6553,4.4,14.91,20.08,50.67,66.54,0
