,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,329,2020-03-24,Manipur,0,0,1,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,,,,,,0
1,353,2020-03-25,Manipur,0,0,1,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,,,,,,0
2,380,2020-03-26,Manipur,0,0,1,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,,,,,,0
3,407,2020-03-27,Manipur,0,0,1,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,,,,,0
4,434,2020-03-28,Manipur,0,0,1,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,,,,,0
5,461,2020-03-29,Manipur,0,0,1,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,,,,0
6,488,2020-03-30,Manipur,0,0,1,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,,,,0
7,515,2020-03-31,Manipur,0,0,1,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,0.0,,,1
8,544,2020-04-01,Manipur,0,0,1,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,0.0,,,1
9,572,2020-04-02,Manipur,0,0,1,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,0.0,,,1
10,601,2020-04-03,Manipur,0,0,2,2,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,50.0,50.0,50.0,,,0
11,631,2020-04-04,Manipur,0,0,2,2,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,50.0,50.0,50.0,,,0
12,661,2020-04-05,Manipur,0,0,2,2,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,50.0,50.0,50.0,,,0
13,691,2020-04-06,Manipur,0,0,2,2,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,50.0,50.0,,,0
14,721,2020-04-07,Manipur,0,0,2,2,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,50.0,50.0,,,0
15,752,2020-04-08,Manipur,0,0,2,2,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,50.0,50.0,,0
16,783,2020-04-09,Manipur,1,0,1,0,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,-100.0,-100.0,0.0,0.0,,1
17,814,2020-04-10,Manipur,1,0,2,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,0.0,50.0,,1
18,845,2020-04-11,Manipur,1,0,2,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,0.0,50.0,,1
19,876,2020-04-12,Manipur,1,0,2,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,50.0,0.0,0.0,50.0,,0
20,907,2020-04-13,Manipur,1,0,2,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,0.0,50.0,,1
21,938,2020-04-14,Manipur,1,0,2,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,50.0,0.0,50.0,50.0,0
22,970,2020-04-15,Manipur,1,0,2,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,0.0,50.0,50.0,1
23,1002,2020-04-16,Manipur,1,0,2,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,50.0,50.0,50.0,0
24,1034,2020-04-17,Manipur,1,0,2,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,0.0,50.0,50.0,1
25,1066,2020-04-18,Manipur,1,0,2,1,79.2,115,7.0,2,0,0,16,1,5.0,38,1790,90,45,0.0,0.0,0.0,0.0,50.0,1
