,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,939,2020-04-14,Meghalaya,0,0,1,1,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,,,,,,0
1,971,2020-04-15,Meghalaya,0,0,1,1,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,,,,,,0
2,1003,2020-04-16,Meghalaya,0,1,7,6,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,,,,,,0
3,1035,2020-04-17,Meghalaya,0,1,9,8,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,88.89,,,,,0
4,1067,2020-04-18,Meghalaya,0,1,9,8,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,88.89,,,,,0
5,1099,2020-04-19,Meghalaya,0,1,11,10,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,36.36,90.91,,,,0
6,1131,2020-04-20,Meghalaya,0,1,11,10,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,18.18,90.91,,,,0
7,1163,2020-04-21,Meghalaya,0,1,11,10,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,18.18,36.36,90.91,,,0
8,1195,2020-04-22,Meghalaya,0,1,12,11,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,8.33,25.0,91.67,,,0
9,1227,2020-04-23,Meghalaya,0,1,12,11,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,8.33,25.0,41.67,,,0
10,1259,2020-04-24,Meghalaya,0,1,12,11,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,8.33,8.33,25.0,,,0
11,1291,2020-04-25,Meghalaya,0,1,12,11,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,0.0,8.33,25.0,,,0
12,1323,2020-04-26,Meghalaya,0,1,12,11,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,0.0,8.33,8.33,,,1
13,1353,2020-04-27,Meghalaya,0,1,12,11,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,0.0,0.0,8.33,,,1
14,1385,2020-04-28,Meghalaya,0,1,12,11,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,0.0,0.0,8.33,,,1
15,1417,2020-04-29,Meghalaya,0,1,12,11,74.4,132,4.7,1,0,1,10,1,5.0,185,5244,262,131,0.0,0.0,0.0,91.67,,1
