,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,354,2020-03-25,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,,,,,,0
1,381,2020-03-26,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,,,,,,0
2,408,2020-03-27,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,,,,,,0
3,435,2020-03-28,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,,,,,0
4,462,2020-03-29,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,,,,,0
5,489,2020-03-30,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,,,,0
6,516,2020-03-31,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,,,,0
7,545,2020-04-01,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,,,1
8,573,2020-04-02,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,,,1
9,602,2020-04-03,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,,,1
10,632,2020-04-04,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,,,1
11,662,2020-04-05,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,,,1
12,692,2020-04-06,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,,,1
13,722,2020-04-07,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,,,1
14,753,2020-04-08,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,,,1
15,784,2020-04-09,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,0.0,,1
16,815,2020-04-10,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,0.0,,1
17,846,2020-04-11,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,0.0,,1
18,877,2020-04-12,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,0.0,,1
19,908,2020-04-13,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,0.0,,1
20,940,2020-04-14,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,0.0,,1
21,972,2020-04-15,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,0.0,0.0,1
22,1004,2020-04-16,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,0.0,0.0,1
23,1036,2020-04-17,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,0.0,0.0,1
24,1068,2020-04-18,Mizoram,0,0,1,1,91.3,52,6.3,1,0,0,11,0,5.0,113,2496,125,62,0.0,0.0,0.0,0.0,0.0,1
