,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,167,2020-03-16,Odisha,0,0,1,1,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,,,,,,0
1,182,2020-03-17,Odisha,0,0,1,1,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,,,,,,0
2,197,2020-03-18,Odisha,0,0,1,1,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,,,,,,0
3,215,2020-03-19,Odisha,0,0,1,1,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,0.0,,,,,0
4,235,2020-03-20,Odisha,0,0,1,1,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,0.0,,,,,0
5,260,2020-03-21,Odisha,0,0,2,2,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,50.0,50.0,,,,0
6,283,2020-03-22,Odisha,0,0,2,2,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,50.0,50.0,,,,0
7,306,2020-03-23,Odisha,0,0,2,2,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,50.0,50.0,50.0,,,0
8,330,2020-03-24,Odisha,0,0,2,2,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,0.0,50.0,50.0,,,0
9,355,2020-03-25,Odisha,0,0,2,2,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,0.0,50.0,50.0,,,0
10,382,2020-03-26,Odisha,0,0,2,2,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,0.0,0.0,50.0,,,0
11,409,2020-03-27,Odisha,0,0,2,2,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,0.0,0.0,50.0,,,0
12,436,2020-03-28,Odisha,0,0,3,3,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,33.33,33.33,33.33,,,0
13,463,2020-03-29,Odisha,0,0,3,3,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,33.33,33.33,33.33,,,0
14,490,2020-03-30,Odisha,0,0,3,3,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,33.33,33.33,33.33,,,0
15,517,2020-03-31,Odisha,0,0,3,3,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,0.0,33.33,33.33,66.67,,0
16,546,2020-04-01,Odisha,0,0,4,4,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,25.0,50.0,50.0,75.0,,0
17,574,2020-04-02,Odisha,0,0,4,4,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,25.0,25.0,50.0,75.0,,0
18,603,2020-04-03,Odisha,0,0,5,5,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,40.0,40.0,60.0,80.0,,0
19,633,2020-04-04,Odisha,0,0,5,5,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,20.0,40.0,40.0,80.0,,0
20,663,2020-04-05,Odisha,0,0,20,20,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,80.0,85.0,85.0,90.0,,0
21,693,2020-04-06,Odisha,2,0,21,19,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,76.19,80.95,85.71,90.48,95.24,0
22,723,2020-04-07,Odisha,2,0,21,19,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,76.19,80.95,85.71,90.48,95.24,0
23,754,2020-04-08,Odisha,2,1,42,39,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,52.38,88.1,90.48,95.24,97.62,0
24,785,2020-04-09,Odisha,2,1,42,39,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,50.0,88.1,90.48,95.24,97.62,0
25,816,2020-04-10,Odisha,2,1,44,41,72.9,270,9.5,10,3,6,21,1,5.0,2501,25650,1282,641,52.27,54.55,88.64,95.45,97.73,0
