,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,729,2020-04-07,Tripura,0,0,1,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,,,,,,0
1,760,2020-04-08,Tripura,0,0,1,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,,,,,,0
2,791,2020-04-09,Tripura,0,0,1,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,,,,,,0
3,822,2020-04-10,Tripura,0,0,1,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,,,,,0
4,853,2020-04-11,Tripura,0,0,1,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,,,,,0
5,884,2020-04-12,Tripura,0,0,2,2,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,50.0,50.0,,,,0
6,915,2020-04-13,Tripura,0,0,2,2,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,50.0,50.0,,,,0
7,947,2020-04-14,Tripura,0,0,2,2,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,50.0,50.0,50.0,,,0
8,979,2020-04-15,Tripura,0,0,2,2,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,50.0,50.0,,,0
9,1011,2020-04-16,Tripura,1,0,2,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,50.0,50.0,,,0
10,1043,2020-04-17,Tripura,1,0,2,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,50.0,,,0
11,1075,2020-04-18,Tripura,1,0,2,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,50.0,,,0
12,1107,2020-04-19,Tripura,1,0,2,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,,,1
13,1139,2020-04-20,Tripura,1,0,2,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,,,1
14,1171,2020-04-21,Tripura,1,0,2,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,,,1
15,1203,2020-04-22,Tripura,1,0,2,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,50.0,,1
16,1235,2020-04-23,Tripura,1,0,2,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,50.0,,1
17,1267,2020-04-24,Tripura,1,0,2,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,50.0,,1
18,1299,2020-04-25,Tripura,1,0,2,1,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,50.0,,1
19,1331,2020-04-26,Tripura,2,0,2,0,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,50.0,,1
20,1361,2020-04-27,Tripura,2,0,2,0,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,0.0,,1
21,1393,2020-04-28,Tripura,2,0,2,0,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,0.0,50.0,1
22,1425,2020-04-29,Tripura,2,0,2,0,87.2,350,7.9,2,0,2,6,0,5.0,164,4667,233,117,0.0,0.0,0.0,0.0,50.0,1
