,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,160,2020-03-15,Uttarakhand,0,0,1,1,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,,,,,,0
1,175,2020-03-16,Uttarakhand,0,0,1,1,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,,,,,,0
2,190,2020-03-17,Uttarakhand,0,0,1,1,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,,,,,,0
3,206,2020-03-18,Uttarakhand,0,0,1,1,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,0.0,,,,,0
4,225,2020-03-19,Uttarakhand,0,0,1,1,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,0.0,,,,,0
5,245,2020-03-20,Uttarakhand,0,0,1,1,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,0.0,0.0,,,,0
6,267,2020-03-21,Uttarakhand,0,0,3,3,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,66.67,66.67,,,,0
7,290,2020-03-22,Uttarakhand,0,0,3,3,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,66.67,66.67,66.67,,,0
8,313,2020-03-23,Uttarakhand,0,0,3,3,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,66.67,66.67,66.67,,,0
9,337,2020-03-24,Uttarakhand,0,0,4,4,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,25.0,75.0,75.0,,,0
10,362,2020-03-25,Uttarakhand,0,0,4,4,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,25.0,75.0,75.0,,,0
11,389,2020-03-26,Uttarakhand,0,0,5,5,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,40.0,40.0,80.0,,,0
12,416,2020-03-27,Uttarakhand,0,0,5,5,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,20.0,40.0,80.0,,,0
13,443,2020-03-28,Uttarakhand,0,0,5,5,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,20.0,40.0,40.0,,,0
14,470,2020-03-29,Uttarakhand,1,0,6,5,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,16.67,33.33,50.0,,,0
15,497,2020-03-30,Uttarakhand,2,0,7,5,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,28.57,42.86,57.14,85.71,,0
16,524,2020-03-31,Uttarakhand,2,0,7,5,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,28.57,28.57,42.86,85.71,,0
17,553,2020-04-01,Uttarakhand,2,0,7,5,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,14.29,28.57,42.86,85.71,,0
18,581,2020-04-02,Uttarakhand,2,0,7,5,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,0.0,28.57,28.57,85.71,,0
19,610,2020-04-03,Uttarakhand,2,0,10,8,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,30.0,40.0,50.0,90.0,,0
20,640,2020-04-04,Uttarakhand,2,0,16,14,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,56.25,56.25,68.75,93.75,,0
21,670,2020-04-05,Uttarakhand,2,0,22,20,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,68.18,68.18,72.73,86.36,95.45,0
22,700,2020-04-06,Uttarakhand,4,0,26,22,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,61.54,73.08,73.08,88.46,96.15,0
23,731,2020-04-07,Uttarakhand,5,0,31,26,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,48.39,77.42,77.42,90.32,96.77,0
24,762,2020-04-08,Uttarakhand,5,0,31,26,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,29.03,67.74,77.42,87.1,96.77,0
25,793,2020-04-09,Uttarakhand,5,0,33,28,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,21.21,51.52,78.79,87.88,96.97,0
26,824,2020-04-10,Uttarakhand,5,0,35,30,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,11.43,37.14,71.43,85.71,97.14,0
27,855,2020-04-11,Uttarakhand,5,0,35,30,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,11.43,25.71,54.29,85.71,91.43,0
28,886,2020-04-12,Uttarakhand,5,0,35,30,78.8,189,8.9,6,1,2,10,0,5.0,1289,23843,1192,596,5.71,11.43,37.14,85.71,91.43,0
