,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,207,2020-03-18,West Bengal,0,0,1,1,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,,,,,,0
1,226,2020-03-19,West Bengal,0,0,1,1,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,,,,,,0
2,246,2020-03-20,West Bengal,0,0,1,1,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,,,,,,0
3,268,2020-03-21,West Bengal,0,0,3,3,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,66.67,,,,,0
4,291,2020-03-22,West Bengal,0,0,4,4,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,75.0,,,,,0
5,314,2020-03-23,West Bengal,0,1,7,6,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,85.71,85.71,,,,0
6,338,2020-03-24,West Bengal,0,1,9,8,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,66.67,88.89,,,,0
7,363,2020-03-25,West Bengal,0,1,9,8,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,55.56,88.89,88.89,,,0
8,390,2020-03-26,West Bengal,0,1,10,9,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,30.0,70.0,90.0,,,0
9,417,2020-03-27,West Bengal,0,1,10,9,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,10.0,60.0,90.0,,,0
10,444,2020-03-28,West Bengal,0,1,15,14,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,40.0,53.33,80.0,,,0
11,471,2020-03-29,West Bengal,0,1,18,17,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,44.44,50.0,77.78,,,0
12,498,2020-03-30,West Bengal,0,1,19,18,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,47.37,52.63,63.16,,,0
13,525,2020-03-31,West Bengal,0,2,26,24,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,42.31,61.54,65.38,,,0
14,611,2020-04-03,West Bengal,3,3,53,47,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,66.04,81.13,83.02,,,0
15,641,2020-04-04,West Bengal,3,3,69,63,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,72.46,78.26,85.51,98.55,,0
16,671,2020-04-05,West Bengal,10,3,69,56,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,62.32,73.91,85.51,98.55,,0
17,701,2020-04-06,West Bengal,10,3,80,67,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,33.75,76.25,81.25,98.75,,0
18,732,2020-04-07,West Bengal,13,3,91,75,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,24.18,71.43,80.22,96.7,,0
19,763,2020-04-08,West Bengal,13,5,99,81,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,30.3,46.46,80.81,95.96,,0
20,794,2020-04-09,West Bengal,16,5,103,82,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,22.33,33.01,74.76,93.2,,0
21,825,2020-04-10,West Bengal,16,5,116,95,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,21.55,40.52,54.31,92.24,99.14,0
22,856,2020-04-11,West Bengal,16,5,116,95,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,14.66,31.03,40.52,92.24,99.14,0
23,887,2020-04-12,West Bengal,19,5,134,110,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,23.13,32.09,48.51,92.54,99.25,0
24,918,2020-04-13,West Bengal,29,7,152,116,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,23.68,34.87,47.37,93.42,98.03,0
25,950,2020-04-14,West Bengal,36,7,190,147,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,38.95,45.79,52.11,92.11,97.89,0
26,982,2020-04-15,West Bengal,37,7,213,169,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,37.09,45.54,53.52,91.55,96.71,0
27,1014,2020-04-16,West Bengal,42,7,231,182,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,34.2,49.78,55.41,91.77,96.1,0
28,1046,2020-04-17,West Bengal,51,10,255,194,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,25.49,47.45,54.51,89.8,96.47,0
29,1078,2020-04-18,West Bengal,55,10,287,222,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,25.78,47.04,59.58,81.53,96.52,0
30,1110,2020-04-19,West Bengal,62,12,310,236,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,25.48,38.71,56.77,77.74,96.77,0
31,1142,2020-04-20,West Bengal,66,12,339,261,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,24.78,37.17,55.16,79.65,95.58,0
32,1174,2020-04-21,West Bengal,73,12,392,307,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,26.79,41.07,51.53,79.59,95.41,0
33,1206,2020-04-22,West Bengal,73,15,423,335,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,26.71,39.72,49.65,78.49,95.51,0
34,1238,2020-04-23,West Bengal,79,15,456,362,76.3,1028,8.5,17,10,5,8,2,21.88,2263,11353,5677,2838,25.66,37.06,49.34,78.29,94.3,0
