,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,198,2020-03-18,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,,,,,,0
1,216,2020-03-19,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,,,,,,0
2,236,2020-03-20,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,,,,,,0
3,261,2020-03-21,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,0.0,,,,,0
4,284,2020-03-22,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,0.0,,,,,0
5,307,2020-03-23,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,0.0,0.0,,,,0
6,331,2020-03-24,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,0.0,0.0,,,,0
7,356,2020-03-25,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,0.0,0.0,0.0,,,1
8,383,2020-03-26,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,0.0,0.0,0.0,,,1
9,410,2020-03-27,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,0.0,0.0,0.0,,,1
10,437,2020-03-28,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,0.0,0.0,0.0,,,1
11,464,2020-03-29,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,0.0,0.0,0.0,,,1
12,491,2020-03-30,Puducherry,0,0,1,1,85.8,2547,9.7,2,0,1,3,0,5.0,20,5172,259,129,0.0,0.0,0.0,,,1
