,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,77,2020-03-09,Punjab,0,0,1,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,,,,,,0
1,89,2020-03-10,Punjab,0,0,1,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,,,,,,0
2,101,2020-03-11,Punjab,0,0,1,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,,,,,,0
3,114,2020-03-12,Punjab,0,0,1,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,0.0,,,,,0
4,127,2020-03-13,Punjab,0,0,1,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,0.0,,,,,0
5,140,2020-03-14,Punjab,0,0,1,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,0.0,0.0,,,,0
6,153,2020-03-15,Punjab,0,0,1,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,0.0,0.0,,,,0
7,168,2020-03-16,Punjab,0,0,1,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,0.0,0.0,0.0,,,1
8,183,2020-03-17,Punjab,0,0,1,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,0.0,0.0,0.0,,,1
9,199,2020-03-18,Punjab,0,0,1,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,0.0,0.0,0.0,,,1
10,217,2020-03-19,Punjab,0,1,2,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,50.0,50.0,50.0,,,0
11,237,2020-03-20,Punjab,0,1,2,1,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,50.0,50.0,50.0,,,0
12,262,2020-03-21,Punjab,0,1,13,12,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,92.31,92.31,92.31,,,0
13,285,2020-03-22,Punjab,0,1,21,20,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,90.48,95.24,95.24,,,0
14,308,2020-03-23,Punjab,0,1,21,20,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,90.48,95.24,95.24,,,0
15,332,2020-03-24,Punjab,0,1,29,28,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,55.17,93.1,96.55,96.55,,0
16,357,2020-03-25,Punjab,0,1,29,28,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,27.59,93.1,96.55,96.55,,0
17,384,2020-03-26,Punjab,0,1,33,32,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,36.36,60.61,93.94,96.97,,0
18,411,2020-03-27,Punjab,0,1,33,32,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,12.12,36.36,93.94,96.97,,0
19,438,2020-03-28,Punjab,1,1,38,36,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,23.68,44.74,65.79,97.37,,0
20,465,2020-03-29,Punjab,1,1,38,36,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,13.16,23.68,44.74,97.37,,0
21,492,2020-03-30,Punjab,1,1,38,36,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,13.16,23.68,44.74,97.37,97.37,0
22,519,2020-03-31,Punjab,1,3,41,37,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,7.32,19.51,29.27,97.56,97.56,0
23,548,2020-04-01,Punjab,1,3,42,38,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,9.52,21.43,30.95,97.62,97.62,0
24,576,2020-04-02,Punjab,1,4,46,41,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,17.39,17.39,28.26,97.83,97.83,0
25,605,2020-04-03,Punjab,1,4,46,41,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,10.87,17.39,28.26,95.65,97.83,0
26,635,2020-04-04,Punjab,1,5,53,47,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,20.75,28.3,28.3,96.23,98.11,0
27,665,2020-04-05,Punjab,1,5,57,51,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,19.3,28.07,33.33,77.19,98.25,0
28,695,2020-04-06,Punjab,4,6,68,58,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,32.35,38.24,44.12,69.12,98.53,0
29,725,2020-04-07,Punjab,4,6,76,66,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,30.26,39.47,46.05,72.37,98.68,0
30,756,2020-04-08,Punjab,4,7,91,80,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,37.36,49.45,53.85,68.13,98.9,0
31,787,2020-04-09,Punjab,4,8,101,89,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,32.67,47.52,54.46,71.29,98.02,0
32,818,2020-04-10,Punjab,4,8,101,89,75.8,551,10.3,19,3,15,4,1,5.0,2320,60997,3050,1525,24.75,43.56,54.46,67.33,98.02,0
