,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,41,2020-03-04,Rajasthan,0,0,1,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,,,,,,0
1,47,2020-03-05,Rajasthan,0,0,1,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,,,,,,0
2,53,2020-03-06,Rajasthan,0,0,1,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,,,,,,0
3,59,2020-03-07,Rajasthan,0,0,1,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,0.0,,,,,0
4,67,2020-03-08,Rajasthan,0,0,1,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,0.0,,,,,0
5,78,2020-03-09,Rajasthan,0,0,1,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,0.0,0.0,,,,0
6,90,2020-03-10,Rajasthan,0,0,1,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,0.0,0.0,,,,0
7,102,2020-03-11,Rajasthan,0,0,3,3,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,66.67,66.67,66.67,,,0
8,115,2020-03-12,Rajasthan,0,0,3,3,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,66.67,66.67,66.67,,,0
9,128,2020-03-13,Rajasthan,0,0,3,3,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,66.67,66.67,66.67,,,0
10,141,2020-03-14,Rajasthan,1,0,3,2,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,0.0,66.67,66.67,,,0
11,154,2020-03-15,Rajasthan,3,0,4,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,25.0,75.0,75.0,,,0
12,169,2020-03-16,Rajasthan,3,0,4,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,25.0,25.0,75.0,,,0
13,184,2020-03-17,Rajasthan,3,0,4,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,25.0,25.0,75.0,,,0
14,200,2020-03-18,Rajasthan,3,0,4,1,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,0.0,25.0,25.0,,,0
15,218,2020-03-19,Rajasthan,3,0,7,4,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,42.86,57.14,57.14,85.71,,0
16,238,2020-03-20,Rajasthan,3,0,7,4,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,42.86,42.86,57.14,85.71,,0
17,263,2020-03-21,Rajasthan,3,0,17,14,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,76.47,76.47,82.35,94.12,,0
18,286,2020-03-22,Rajasthan,3,0,24,21,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,70.83,83.33,83.33,95.83,,0
19,309,2020-03-23,Rajasthan,3,0,28,25,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,75.0,85.71,85.71,96.43,,0
20,333,2020-03-24,Rajasthan,3,0,32,29,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,46.88,78.12,87.5,96.88,,0
21,358,2020-03-25,Rajasthan,3,0,36,33,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,33.33,80.56,88.89,97.22,97.22,0
22,385,2020-03-26,Rajasthan,3,0,41,38,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,31.71,58.54,82.93,92.68,97.56,0
23,412,2020-03-27,Rajasthan,3,0,41,38,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,21.95,41.46,82.93,92.68,97.56,0
24,439,2020-03-28,Rajasthan,3,0,54,51,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,33.33,48.15,68.52,94.44,98.15,0
25,466,2020-03-29,Rajasthan,3,0,54,51,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,24.07,40.74,55.56,94.44,98.15,0
26,493,2020-03-30,Rajasthan,3,0,57,54,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,28.07,36.84,50.88,92.98,98.25,0
27,520,2020-03-31,Rajasthan,3,0,74,71,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,27.03,44.59,56.76,94.59,98.65,0
28,549,2020-04-01,Rajasthan,3,0,93,90,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,41.94,55.91,61.29,95.7,96.77,0
29,577,2020-04-02,Rajasthan,3,0,108,105,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,47.22,50.0,62.04,96.3,97.22,0
30,606,2020-04-03,Rajasthan,3,0,133,130,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,44.36,59.4,69.17,94.74,97.74,0
31,636,2020-04-04,Rajasthan,3,0,179,176,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,48.04,68.16,69.83,96.09,98.32,0
32,666,2020-04-05,Rajasthan,21,0,200,179,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,46.0,63.0,73.0,91.5,98.0,0
33,696,2020-04-06,Rajasthan,21,0,253,232,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,47.43,63.24,77.47,90.51,98.42,0
34,726,2020-04-07,Rajasthan,21,3,288,264,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,37.85,62.5,74.31,90.28,98.61,0
35,757,2020-04-08,Rajasthan,21,3,328,304,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,39.02,59.45,71.65,90.24,98.78,0
36,788,2020-04-09,Rajasthan,21,3,381,357,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,33.6,53.02,71.65,90.55,98.16,0
37,819,2020-04-10,Rajasthan,21,3,463,439,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,37.8,56.8,71.27,91.14,98.49,0
38,850,2020-04-11,Rajasthan,21,3,553,529,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,40.69,54.25,67.63,92.59,96.93,0
39,881,2020-04-12,Rajasthan,21,3,700,676,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,45.57,58.86,71.43,92.29,96.57,0
40,912,2020-04-13,Rajasthan,21,3,804,780,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,42.41,59.2,68.53,93.28,96.52,0
41,944,2020-04-14,Rajasthan,133,3,879,743,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,37.09,56.66,67.24,93.52,96.36,0
42,976,2020-04-15,Rajasthan,147,3,969,819,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,27.76,52.22,66.15,92.36,96.28,0
43,1008,2020-04-16,Rajasthan,147,3,1023,873,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,21.41,45.94,62.76,90.91,95.99,0
44,1040,2020-04-17,Rajasthan,164,11,1131,956,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,22.28,38.11,59.06,90.45,96.37,0
45,1072,2020-04-18,Rajasthan,183,11,1229,1035,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,21.16,34.58,55.0,89.18,95.61,0
46,1104,2020-04-19,Rajasthan,183,11,1351,1157,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,24.28,34.94,48.19,86.75,96.0,0
47,1136,2020-04-20,Rajasthan,183,14,1478,1281,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,23.48,34.44,45.6,86.47,96.14,0
48,1168,2020-04-21,Rajasthan,205,25,1576,1346,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,22.02,35.09,44.23,83.95,95.3,0
49,1200,2020-04-22,Rajasthan,230,25,1659,1404,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,18.57,31.83,41.59,82.64,94.39,0
50,1232,2020-04-23,Rajasthan,230,27,1890,1633,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,21.8,34.97,45.87,82.65,94.29,0
51,1264,2020-04-24,Rajasthan,230,27,1964,1707,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,19.76,31.21,42.41,80.6,93.23,0
52,1296,2020-04-25,Rajasthan,230,27,2034,1777,66.1,200,7.5,26,8,19,6,1,5.0,5644,93176,4659,2329,18.44,27.34,39.58,77.24,91.2,0
