,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,60,2020-03-07,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,,,,,,0
1,68,2020-03-08,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,,,,,,0
2,79,2020-03-09,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,,,,,,0
3,91,2020-03-10,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,0.0,,,,,0
4,103,2020-03-11,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,0.0,,,,,0
5,116,2020-03-12,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,0.0,0.0,,,,0
6,129,2020-03-13,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,0.0,0.0,,,,0
7,142,2020-03-14,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,0.0,0.0,0.0,,,1
8,155,2020-03-15,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,0.0,0.0,0.0,,,1
9,170,2020-03-16,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,0.0,0.0,0.0,,,1
10,185,2020-03-17,Tamil Nadu,0,0,1,1,80.1,555,10.4,35,12,24,1,3,22.54,2439,155375,7769,3884,0.0,0.0,0.0,,,1
