,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,34,2020-03-02,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,,,,,,0
1,37,2020-03-03,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,,,,,,0
2,42,2020-03-04,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,,,,,,0
3,48,2020-03-05,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,0.0,,,,,0
4,54,2020-03-06,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,0.0,,,,,0
5,61,2020-03-07,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,0.0,0.0,,,,0
6,69,2020-03-08,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,0.0,0.0,,,,0
7,80,2020-03-09,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,0.0,0.0,0.0,,,1
8,92,2020-03-10,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,0.0,0.0,0.0,,,1
9,104,2020-03-11,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,0.0,0.0,0.0,,,1
10,117,2020-03-12,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,0.0,0.0,0.0,,,1
11,130,2020-03-13,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,0.0,0.0,0.0,,,1
12,143,2020-03-14,Telengana,0,0,1,1,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,0.0,0.0,0.0,,,1
13,156,2020-03-15,Telengana,1,0,3,2,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,66.67,66.67,66.67,,,0
14,171,2020-03-16,Telengana,1,0,3,2,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,66.67,66.67,66.67,,,0
15,186,2020-03-17,Telengana,1,0,5,4,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,80.0,80.0,80.0,80.0,,0
16,202,2020-03-18,Telengana,1,0,6,5,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,50.0,83.33,83.33,83.33,,0
17,220,2020-03-19,Telengana,1,0,6,5,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,50.0,83.33,83.33,83.33,,0
18,240,2020-03-20,Telengana,1,0,16,15,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,68.75,81.25,93.75,93.75,,0
19,265,2020-03-21,Telengana,1,0,21,20,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,71.43,85.71,95.24,95.24,,0
20,288,2020-03-22,Telengana,1,0,22,21,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,72.73,77.27,86.36,95.45,,0
21,311,2020-03-23,Telengana,1,0,32,31,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,50.0,81.25,90.62,96.88,96.88,0
22,335,2020-03-24,Telengana,1,0,35,34,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,40.0,82.86,85.71,97.14,97.14,0
23,360,2020-03-25,Telengana,1,0,35,34,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,37.14,54.29,82.86,97.14,97.14,0
24,387,2020-03-26,Telengana,1,0,44,43,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,27.27,52.27,86.36,97.73,97.73,0
25,414,2020-03-27,Telengana,1,0,45,44,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,22.22,51.11,64.44,97.78,97.78,0
26,441,2020-03-28,Telengana,1,0,56,55,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,37.5,42.86,62.5,98.21,98.21,0
27,468,2020-03-29,Telengana,1,1,66,64,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,33.33,46.97,66.67,98.48,98.48,0
28,495,2020-03-30,Telengana,1,1,69,67,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,34.78,49.28,53.62,95.65,98.55,0
29,522,2020-03-31,Telengana,1,1,79,77,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,29.11,44.3,55.7,96.2,98.73,0
30,551,2020-04-01,Telengana,1,3,96,92,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,31.25,53.12,63.54,94.79,98.96,0
31,579,2020-04-02,Telengana,1,3,96,92,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,28.12,41.67,54.17,93.75,98.96,0
32,608,2020-04-03,Telengana,1,3,107,103,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,26.17,38.32,57.94,94.39,99.07,0
33,638,2020-04-04,Telengana,1,7,158,150,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,39.24,56.33,64.56,89.87,99.37,0
34,668,2020-04-05,Telengana,32,7,269,230,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,64.31,70.63,75.46,92.19,98.88,0
35,698,2020-04-06,Telengana,34,7,321,280,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,66.67,70.09,78.5,93.15,99.07,0
36,728,2020-04-07,Telengana,34,7,321,280,66.5,307,9.8,28,6,18,9,1,5.0,4110,99919,4996,2498,50.78,70.09,75.39,90.03,98.44,0
