,index,Date,Name of State / UT,Cured/Discharged/Migrated,Death,Total Confirmed cases,Active Cases,LiteracyRate,PopulationDensity,ElderlyRate,DistrictsEffected,NoRedZones,NoOrangeZones,NoGreenZones,InternationalAirports,IntAirportPassenger,StateHospitals,StateHospitalBeds,StateHospitalICUs,StateHospitalVentilators,Rate_per_3_days,Rate_per_5_days,Rate_per_7_days,Rate_per_15_days,Rate_per_21_days,is_curve_flattened
0,43,2020-03-04,Uttar Pradesh,0,0,6,6,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,,,,,,0
1,49,2020-03-05,Uttar Pradesh,0,0,7,7,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,,,,,,0
2,55,2020-03-06,Uttar Pradesh,0,0,7,7,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,,,,,,0
3,63,2020-03-07,Uttar Pradesh,0,0,7,7,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,14.29,,,,,0
4,71,2020-03-08,Uttar Pradesh,0,0,7,7,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,0.0,,,,,0
5,83,2020-03-09,Uttar Pradesh,0,0,7,7,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,0.0,14.29,,,,0
6,95,2020-03-10,Uttar Pradesh,0,0,7,7,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,0.0,0.0,,,,0
7,107,2020-03-11,Uttar Pradesh,0,0,9,9,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,22.22,22.22,33.33,,,0
8,120,2020-03-12,Uttar Pradesh,0,0,11,11,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,36.36,36.36,36.36,,,0
9,133,2020-03-13,Uttar Pradesh,0,0,11,11,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,36.36,36.36,36.36,,,0
10,146,2020-03-14,Uttar Pradesh,5,0,12,7,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,25.0,41.67,41.67,,,0
11,159,2020-03-15,Uttar Pradesh,4,0,13,9,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,15.38,46.15,46.15,,,0
12,174,2020-03-16,Uttar Pradesh,4,0,13,9,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,15.38,30.77,46.15,,,0
13,189,2020-03-17,Uttar Pradesh,5,0,15,10,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,20.0,26.67,53.33,,,0
14,205,2020-03-18,Uttar Pradesh,5,0,16,11,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,18.75,31.25,43.75,,,0
15,224,2020-03-19,Uttar Pradesh,9,0,19,10,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,31.58,36.84,42.11,68.42,,0
16,244,2020-03-20,Uttar Pradesh,9,0,19,10,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,21.05,31.58,42.11,63.16,,0
17,266,2020-03-21,Uttar Pradesh,9,0,24,15,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,33.33,45.83,50.0,70.83,,0
18,289,2020-03-22,Uttar Pradesh,9,0,27,18,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,29.63,44.44,51.85,74.07,,0
19,312,2020-03-23,Uttar Pradesh,9,0,31,22,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,38.71,48.39,58.06,77.42,,0
20,336,2020-03-24,Uttar Pradesh,11,0,33,22,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,27.27,42.42,54.55,78.79,,0
21,361,2020-03-25,Uttar Pradesh,11,0,37,26,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,27.03,48.65,56.76,81.08,83.78,0
22,388,2020-03-26,Uttar Pradesh,11,0,41,30,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,24.39,41.46,53.66,78.05,82.93,0
23,415,2020-03-27,Uttar Pradesh,11,0,41,30,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,19.51,34.15,53.66,73.17,82.93,0
24,442,2020-03-28,Uttar Pradesh,11,0,55,44,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,32.73,43.64,56.36,80.0,87.27,0
25,469,2020-03-29,Uttar Pradesh,11,0,55,44,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,25.45,40.0,50.91,78.18,87.27,0
26,496,2020-03-30,Uttar Pradesh,11,0,75,64,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,45.33,50.67,58.67,82.67,90.67,0
27,523,2020-03-31,Uttar Pradesh,14,0,101,87,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,45.54,59.41,67.33,87.13,93.07,0
28,552,2020-04-01,Uttar Pradesh,14,2,103,87,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,46.6,60.19,64.08,85.44,91.26,0
29,580,2020-04-02,Uttar Pradesh,14,2,113,97,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,33.63,51.33,63.72,85.84,90.27,0
30,609,2020-04-03,Uttar Pradesh,14,2,113,97,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,10.62,51.33,63.72,83.19,90.27,0
31,639,2020-04-04,Uttar Pradesh,19,2,174,153,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,40.8,56.9,68.39,89.08,93.1,0
32,669,2020-04-05,Uttar Pradesh,19,2,227,206,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,50.22,55.51,75.77,89.43,94.27,0
33,699,2020-04-06,Uttar Pradesh,19,2,227,206,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,50.22,54.63,66.96,88.11,94.27,0
34,730,2020-04-07,Uttar Pradesh,21,3,305,281,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,42.95,62.95,66.89,89.84,95.08,0
35,761,2020-04-08,Uttar Pradesh,21,3,326,302,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,30.37,65.34,68.4,89.88,95.09,0
36,792,2020-04-09,Uttar Pradesh,27,4,361,330,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,37.12,51.8,68.7,89.75,94.74,0
37,823,2020-04-10,Uttar Pradesh,31,4,410,375,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,25.61,44.63,72.44,90.0,95.37,0
38,854,2020-04-11,Uttar Pradesh,32,4,431,395,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,24.36,47.33,59.63,90.49,94.43,0
39,885,2020-04-12,Uttar Pradesh,45,5,452,402,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,20.13,32.52,49.78,87.83,94.03,0
40,916,2020-04-13,Uttar Pradesh,46,5,483,432,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,15.11,32.51,53.0,88.61,93.58,0
41,948,2020-04-14,Uttar Pradesh,49,5,657,603,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,34.4,45.05,53.58,88.58,94.98,0
42,980,2020-04-15,Uttar Pradesh,50,5,660,605,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,31.52,37.88,50.61,84.7,94.39,0
43,1012,2020-04-16,Uttar Pradesh,51,11,735,673,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,34.29,41.36,50.88,85.99,94.42,0
44,1044,2020-04-17,Uttar Pradesh,74,14,846,758,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,22.34,46.57,51.54,86.64,95.15,0
45,1076,2020-04-18,Uttar Pradesh,82,14,849,753,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,22.26,43.11,49.23,86.69,93.52,0
46,1108,2020-04-19,Uttar Pradesh,86,14,969,869,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,24.15,32.2,53.35,82.04,94.32,0
47,1140,2020-04-20,Uttar Pradesh,108,17,1084,959,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,21.96,39.11,55.44,79.06,93.08,0
48,1172,2020-04-21,Uttar Pradesh,140,18,1184,1026,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,28.29,37.92,44.51,80.83,91.47,0
49,1204,2020-04-22,Uttar Pradesh,140,20,1294,1134,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,25.12,34.62,49.0,76.43,92.04,0
50,1236,2020-04-23,Uttar Pradesh,173,21,1449,1255,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,25.19,41.41,49.28,77.5,92.2,0
51,1268,2020-04-24,Uttar Pradesh,206,24,1510,1280,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,21.59,35.83,43.97,76.09,92.52,0
52,1300,2020-04-25,Uttar Pradesh,247,25,1621,1349,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,20.17,33.13,47.62,74.71,89.27,0
53,1362,2020-04-27,Uttar Pradesh,289,29,1868,1550,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,22.43,36.62,48.13,76.93,87.85,0
54,1394,2020-04-28,Uttar Pradesh,335,31,1955,1589,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,22.76,33.81,44.55,76.88,88.39,0
55,1426,2020-04-29,Uttar Pradesh,462,34,2053,1557,67.7,829,7.7,52,19,36,20,2,5.0,17103,281402,14070,7035,21.04,29.42,42.33,76.47,85.14,0
